;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2272;mordre;;mOrdi;;mOrdi;;mOrdi;;mOrdrE;;mOrdra;mOrdrô;mOrdra;;mOrdE;;mOrdE;mOrdE;mOrdE;mOrdr;;;;;mOrdis;;;mOrde;mOr;mOrdâ;;;;;;mOrdrE;;mOr;mOrde;mOr;mOrd;mOr;;;;;;;mOrd
2273;morfaler;;;;;;;;;;;;;;;;;;;mOrfale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2274;morfler;;;;;;;;;;;;;;;;;;;mOrfle;;;;;;;;;;;;;;;;;;;;;;mOrfl;;;;;;;
2275;morfondre;;mOrfôdi;;;;;;;;;;;;;;;;mOrfôdE;mOrfôdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2276;morigéner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOriZEnâ;;;;;;;;;;;;;;;;;;;
2277;mortifier;;;;;;mOrtifja;;;;;;;;;;;;mOrtifjE;mOrtifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2278;motiver;;;;;;;;;;;;;;;;;mOtivE;;mOtive;;;;;;;;;mOtiv;;;;;;;;;mOtiv;;;;mOtiv;;;;;;;
2279;moucharder;;;;;;;;;;;;;;;;;;;;;;;;;;;;muSard;;;;;;;;;muSard;;;;;;;;;;;
2280;moucher;;;;;;muSa;;;;;;;;;;;;muSE;muSe;;;;;;;;;muS;;;;;;;;;muS;;;muS;muS;;;;;;;
2281;moucheter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;muSEt;;;;;;;
2282;moudre;;;;;;;;;;;;;;;;;;;mudr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2283;moufter;;;;;;;;;;;;;;;;;;muftE;mufte;;;;;;;;;;;;;;;;;;muft;;muft;;muft;;;;;;;
2284;mouiller;;;;;;muja;;;;;;muj6ra;;;;;mujE;mujE;muje;;;;;;;;muje;muj;mujâ;;;;;;;;muj;muje;muj;muj;muj;;;;;muj;;
2285;mouler;;;;;;;;;;;;;;;;;mulE;mulE;mule;;;;;;;;;mul;;;;;;;;;mul;;;mul;;;;;;;;
2286;mouliner;;;;;;;;;;;;;;;;;;;muline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2287;mourir;;;;mury;muryr;mury;murrô;murrE;murre;murra;murrô;murra;murjô;murE;;murE;murE;murE;murir;;;;;;mury;murô;mure;m9r;murâ;;murrE;murrje;murrE;murrE;murrE;murô;m9r;mure;m9r;m9r;m9r;;;m9r;;m9r;;m9r
2288;mousser;;;;;;;;;;;;;;;;;;;muse;;;;;;;;;mus;;;;;;;;;mus;;;;mus;;;;;;;
2289;moutonner;;;;;;;;;;;;;;;;;;mutOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2290;mouvoir;;my;;;;;;;;;;;;;;;;muvE;muvwar;;;;;;;;;m2;muvâ;;;;;;;;;;;;m2;;;;;;;
2291;moyenner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mwajEn;;;;;;;
2292;muer;;;;;;;;;;;;;;;;;;myE;mye;;;;;;;;;;;;;;;;;;my;;;;my;;;;;my;;
2293;mugir;;;;;;myZi;;;;;;;;;;;;;myZir;;;;;;;;;;myZisâ;;;;;;;;;;;;myZi;;;;;;;
2294;multiplier;;myltipliE;;;;myltiplia;;;;;;;;;;;myltipliE;myltipliE;myltiplie;;;;;;;;myltiplie;myltipli;myltipliâ;;;;;;;;myltipli;myltiplie;myltipli;myltipli;myltipli;;;;;;;
2295;munir;;;;;;myni;;;;;;;;;;;mynisE;mynisE;mynir;;;;;;;;;myni;;;;;;;;;myni;;;;;;;;;;;
2296;murer;;;;;myrEr;myra;;;;;;;;;;;;;myre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2297;murmurer;;myrmyrE;;;;myrmyra;;;;;;;;myrmyrE;;;myrmyrE;myrmyrE;myrmyre;;;;;;;;;myrmyr;myrmyrâ;;;;;;;;myrmyr;myrmyre;;myrmyr;myrmyr;;;;;;;
2298;musarder;;;;;;;;;;;;;;;;;;myzardE;myzarde;;;;;;;;;;myzardâ;;;;;;;;;;;;;;;;;;;
2299;muscler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myskl;myskl;;;;;;;
2300;museler;;;;;;;;;;;;;;;;;;;myz6le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2301;muser;;;;;;;;;;;;;;;;;;myzE;myze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2302;musiquer;;;;;;;;;;;;;;;;;;myzikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2303;muter;;;;;;;;;;;;;;;;;;;myte;;;;;;;;;;;;;;;;;;;;;;myt;;;;;;;
2304;mutiler;;;;;;;;;;;;;;;;;;mytilE;mytile;;;;;;;;;mytil;;;;;;;;;;;;;mytil;;;;;;;mytil
2305;mutiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mytin;mytin;;;;;;;
2306;mâcher;;;;;;maSa;;;;;;;;;;;maSE;maSE;maSe;;;;;;;;;maS;maSâ;;;;;;maS6rE;;maS;maSe;;;maS;;;;;;;
2307;mâchonner;;;;;;;;;;;;;;;;;;;maSOne;;;;;;;;;;maSOnâ;;;;;;;;;;;;maSOn;;;;;;;
2308;mâchouiller;;;;;;maSuja;;;;;;;;;;;;;;;;;;;;;;;maSujâ;;;;;;;;;;;;;;;;;;;
2309;mécher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mESâ;;;;;;;;;;;;;;;;;;;
2310;méconnaître;;;;;;;;;;;;;;mEkOnEsE;;;;;mEkOnEtr;;;;;;;;;;;;;;;;;;mEkOnE;;;;;;;;;;;
2311;mécontenter;;;;;;;;;;;;;;;;;;;mEkôtâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2312;médire;;;;;;;;;;;;;;;;;;;mEdir;;;;;;;;;;;;;;;;;;;;mEdi;;;;;;;;;
2313;méditer;;;;;;;;;;;;;;mEditE;;mEditE;mEditE;mEditE;mEdite;;;;;;;;mEdite;mEdit;mEditâ;;;;;;mEdit6rE;;mEdit;mEdite;mEdit;mEdit;mEdit;;;;;;;
2314;méduser;;;;;;;;;;;;;;;;;;mEdyzE;mEdyze;;;;;;;;;;mEdyzâ;;;;;;;;;;;;;;;;;;;
2315;méfier;;;;;;;;;;;;;;mEfjE;;;mEfjE;mEfjE;mEfje;;;;;;;;mEfje;mEfi;mEfjâ;;;;;;mEfirE;mEfjô;mEfi;mEfje;mEfi;mEfi;mEfi;;;mEfi;;;;mEfi
2316;mégoter;;;;;;;;;;;;;;;;;;mEgOtE;;;;;;;;;;;;;;;;;;;;;;;mEgOt;;;;;;;
2317;mélanger;;;;;;mElâZa;;;;;;;;mElâZE;;;mElâZE;mElâZE;mElâZe;;;;;;;mElâZô;mElâZe;mElâZ;mElâZâ;;;;;;;mElâZô;mElâZ;mElâZe;mElâZ;mElâZ;mElâZ;;;;;mElâZ;;
2318;mémoriser;;;;;;;;;;;;;;;;;;;mEmOrize;;;;;;;;;;;;;;;;;;mEmOriz;;;;;;;;;;;
2319;ménager;;;;;;;;;;;;;;mEnaZE;;;mEnaZE;mEnaZE;mEnaZe;;;;;;;;;mEnaZ;mEnaZâ;;;;;;;;mEnaZ;mEnaZe;;;mEnaZ;;;;;;;
2320;méprendre;;mEpri;;;;mEpri;;;;;;;;;;;;mEpr6nE;mEprâdr;;;;;;;;mEpr6ne;mEprâ;;;;;;;;;;mEpr6ne;mEprâ;;;;;;;;;mEprEn
2321;mépriser;;;;;;;;;;mEpriz6ra;;;;;;mEprizE;mEprizE;mEprizE;mEprize;;;;;;;mEprizô;mEprize;mEpriz;mEprizâ;;mEpriz6rE;;;;;mEprizô;mEpriz;mEprize;mEpriz;mEpriz;mEpriz;;;mEpriz;;;;
2322;mériter;;;;;;;;;;;;;mEritjô;mEritE;mEritje;mEritE;mEritE;mEritE;mErite;;;;;;;mEritô;mErite;mErit;mEritâ;;mErit6rE;mErit6rje;mErit6rE;mErit6rE;mErit6rE;mEritô;mErit;mErite;mErit;mErit;mErit;;;mErit;;mErit;;mErit
2323;métamorphoser;;;;;;;;;;;;;;;;;mEtamOrfOzE;mEtamOrfOzE;mEtamOrfOze;;;;;;mEtamOrfOza;;;;;;;;;;;;mEtamOrfoz;;;;mEtamOrfoz;;;;;;;
2324;métrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEtr;;;;;;;
2325;mêler;;mElE;;;mElEr;mEla;;mEl6rE;;;;mEl6ra;;mElE;;;mElE;mElE;mEle;;;;;;mEla;mElô;mEle;mEl;mElâ;;;;;;;mElô;mEl;mEle;mEl;mEl;mEl;;;mEl;;;;mEl
2326;nager;;naZE;;;naZEr;;;;naZ6re;naZ6ra;;naZ6ra;;naZE;;naZE;naZE;naZE;naZe;;;;;;;naZô;naZe;naZ;naZâ;;;;;;;;naZ;naZe;;naZ;naZ;;;;;;;
2327;narguer;;;;;;narga;;;;;;;;;;;nargE;;narge;;;;;;;;;narg;;;;;;;;;narg;;;narg;narg;;;;;;;
2328;narrer;;;;;;;;;;;;;;;;;;;nare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2329;nasiller;;;;;;;;;;;;;;;;;;nazijE;;;;;;;;;;;nazijâ;;;;;;;;;;;nazij;;;;;;;;
2330;nationaliser;;;;;;;;;;;;;;;;;;nasjOnalizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2331;naviguer;;;;;;;;;;;;;navigjô;;;;navigE;navigE;navige;;;;;;;;navige;navig;navigâ;;;;;;;;navig;navige;;navig;navig;;;;;;;
2332;navrer;;;;;;;;;;;;;;;;;;navrE;navre;;;;;;;;;;navrâ;;;;;;;;;;;;navr;;;;;;;
2333;naître;;naki;;;;naki;;;;;nEtrô;nEtra;;;;;nEsE;nEsE;nEtr;;nakis;;;;;;;;nEsâ;;;;;;;;nE;;nE;nEs;nE;;;nEs;;nEs;;nEs
2334;neiger;;;;;;;;;;;;nEZ6ra;;;;;;;nEZe;;;;;;;;;;;;;;;;;;;;;;nEZ;;;;;;;
2335;nettoyer;;;;;;nEtwaja;;nEtwarE;;;;;;nEtwajE;;nEtwajE;nEtwajE;nEtwajE;nEtwaje;;;;;;;nEtwajô;nEtwaje;nEtwa;nEtwajâ;;;;;;;nEtwajô;nEtwa;nEtwaje;nEtwa;nEtwa;nEtwa;;;;;nEtwa;;nEtwa
2336;neutraliser;;;;;;;;;;;;;;;;;;;n6tralize;;;;;;;;;n6traliz;;;;;;;;;;;;;n6traliz;;;;;;;
2337;nicher;;;;;;;;;;;;;;;;;;niSE;niSe;;;;;;;;;;;;;;;;;;;;;niS;niS;;;;;;;
2338;nier;;;;;;nja;;;nire;;;;;njE;;;;njE;nje;;;;;;;;nje;ni;njâ;;nirE;;;;;;ni;nje;ni;ni;ni;;;;;;;
2339;nipper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nip;;;;;;;;;
2340;niveler;;;;;;;;;;;;;;;;;;;;;;;;;niv6la;;;;;;;;;;;;;;;;;;;;;;;
2341;noircir;;;;;;nwarsi;;;;;;;;;;;nwarsisE;nwarsisE;nwarsir;;;;;;;;;nwarsi;;;;;;;;;;;nwarsi;nwarsis;;;;;;;;
2342;nommer;;;;;nOmEr;nOma;;nOm6rE;;;;nOm6ra;;nOmE;nOmje;;nOmE;nOmE;nOme;;;;;;nOma;nOmô;nOme;nOm;nOmâ;;;;nOm6rE;;;nOmô;nOm;nOme;nOm;nOm;nOm;;;;;nOm;;nOm
2343;normaliser;;;;;;;;;;;;;;;;;;;nOrmalize;;;;;;;;;;;;;;;;;;;;;;nOrmaliz;;;;;;;
2344;noter;;nOtE;;;;nOta;;nOt6rE;nOt6re;;;;nOtjô;nOtE;nOtje;;nOtE;nOtE;nOte;;;;;;;;nOte;;nOtâ;;;;;;;nOtô;nOt;nOte;;nOt;nOt;;;;;;;
2345;notifier;;nOtifjE;;;;;;;;;;;;;;;;nOtifjE;nOtifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2346;nouer;;;;;nuEr;nua;;;;;;;;;;;nuE;nuE;nue;;;;;;;;;nu;nuâ;;;;;;;;nu;;;nu;nu;;;;;;;
2347;nourrir;;;;;;nuri;;nurirE;;;nurirô;nurira;;nurisE;nurisje;nurisE;nurisE;nurisE;nurir;;;;;nuris;;nurisô;;nuri;nurisâ;;;;;;;nurisô;nuri;nurise;nuri;nuris;nuri;;;nuris;;;;nuris
2348;noyauter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nwajot;;;;;;;;
2349;noyer;;;;;;;;nwarE;;nwara;;;;nwajE;;;nwajE;nwajE;nwaje;;;;;;;;nwaje;nwa;nwajâ;;;;;;;;nwa;;nwa;nwa;nwa;;;nwa;;;;nwa
2350;nuancer;;;;;;;;;;;;;;;;;;;nyâse;;;;;;;;;nyâs;;;;;;;;;;;;;nyâs;;;;;;;
2351;nuire;;;;;;;;;;;;nHira;;;;;;;nHir;;;;;;nHizi;;;;;;;;;;nHirE;;;;;nHiz;nHi;;;;;;;nHiz
2352;numériser;;;;;;;;;;;;;;;;;;;;;;;;;;;;nymEriz;;;;;;;;;;;;;;;;;;;;
2353;numéroter;;;;;;;;;;;;;;;;;nymErOtE;nymErOtE;nymErOte;;;;;;;;nymErOte;;;;;;;;;;nymErOt;;;;nymErOt;;;;;;;
2354;nécessiter;;;;;;;;;;;;;;;;;nEsEsitE;nEsEsitE;;;;;;;;;;nEsEsit;nEsEsitâ;;;;;;;;;;;nEsEsit;nEsEsit;;;;;;;
2355;négliger;;nEgliZE;;;;nEgliZa;;;;;;;nEgliZjô;nEgliZE;;nEgliZE;nEgliZE;nEgliZE;nEgliZe;;;;;;;;nEgliZe;nEgliZ;nEgliZâ;;;;;;;;nEgliZ;nEgliZe;nEgliZ;nEgliZ;nEgliZ;;;;;;;
2356;négocier;;;;;;;;nEgOsirE;;;;nEgOsira;;;;;;nEgOsjE;nEgOsje;;;;;;;;;nEgOsi;;;;;;;;;nEgOsi;;;nEgOsi;nEgOsi;;;;;;;
2357;objecter;;ObZEktE;;;;ObZEkta;;;ObZEkt6re;;;;;;;ObZEktE;;ObZEktE;ObZEkte;;;;;;;;;ObZEkt;ObZEktâ;;;;;;;;ObZEkt;;;;ObZEkt;;;;;;;
2358;obliger;;;;;;ObliZa;;ObliZ6rE;;ObliZ6ra;;ObliZ6ra;;ObliZE;;ObliZE;ObliZE;ObliZE;ObliZe;;;;;;ObliZa;;ObliZe;ObliZ;ObliZâ;;;;;;ObliZ6rE;;ObliZ;ObliZe;;ObliZ;ObliZ;;;;;;;ObliZ
2359;obliquer;;;;;;Oblika;;;;;;;;;;;;;Oblike;;;;;;;;;;;;;;;;;;Oblik;;;;Oblik;;;;;;;Oblik
2360;oblitérer;;;;;OblitErEr;;;;;;;;;;;;OblitErE;OblitErE;;;;;;;;;;;;;;;;;;;;;;OblitEr;OblitEr;;;;;;;
2361;obscurcir;;;;;;Obskyrsi;;;;;;;;;;;ObskyrsisE;ObskyrsisE;Obskyrsir;;;;;;;;;;;;;;;;;;;;;;Obskyrsi;;;;;;;
2362;observer;;ObsErvE;;;ObsErvEr;ObsErva;;ObsErv6rE;;;;;ObsErvjô;ObsErvE;;ObsErvE;ObsErvE;ObsErvE;ObsErve;;;;;;;ObsErvô;ObsErve;ObsErv;ObsErvâ;;;;;;;ObsErvô;ObsErv;ObsErve;ObsErv;ObsErv;ObsErv;;;ObsErv;;ObsErv;;ObsErv
2363;obstiner;;;;;;Obstina;;;Obstin6re;;;;;ObstinE;;ObstinE;ObstinE;ObstinE;Obstine;;;;;;;;;Obstin;;;;;;;;;Obstin;;Obstin;Obstin;Obstin;;;;;Obstin;;
2364;obstruer;;;;;;;;;;;Obstryrô;;;;;;;ObstryE;Obstrye;;;;;;;;;Obstry;;;;;;;;;;;;Obstry;Obstry;;;;;;;
2365;obséder;;;;;ObsEdEr;;;;;;;;;;;;ObsEdE;;ObsEde;;;;;;;;;ObsEd;;;;;;;;;ObsEd;;;ObsEd;ObsEd;;;;;;;
2366;obtempérer;;;;;;;;;;;;;;;;;;;ObtâpEre;;;;;;;;;ObtâpEr;;;;;;;;;;;;;ObtâpEr;;;;;;;
2367;obtenir;;Obtê;;Obtê;Obtêr;Obtê;Obtjêdrô;ObtjêdrE;;Obtjêdra;Obtjêdrô;;;Obt6nE;;Obt6nE;Obt6nE;Obt6nE;Obt6nir;;;;;;;Obt6nô;Obt6ne;Obtjê;;;;;;;ObtjêdrE;Obt6nô;Obtjê;Obt6ne;Obtjê;ObtjEn;Obtjê;;;ObtjEn;;ObtjEn;;ObtjEn
2368;obturer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Obtyr;;;;;;;
2369;obéir;;;;;;ObEi;ObEirô;ObEirE;;ObEira;ObEirô;ObEira;ObEisjô;ObEisE;ObEisje;ObEisE;ObEisE;ObEisE;ObEir;;;;;;;ObEisô;ObEise;ObEi;ObEisâ;;;;;;;ObEisô;ObEi;ObEise;ObEi;ObEis;ObEi;;;ObEis;;;;
2370;obérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ObEr;;;;;;;;;;;
2371;occasionner;;;;;;;;;;;;;;;;;;;OkazjOne;;;;;;;;;;;;;;;;;;OkazjOn;;;;;;;;;;;
2372;occidentaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oksidâtaliz;;;;;;;
2373;occire;;;;;;;;;;;;;;;;;;;Oksir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2374;occulter;;;;;;;;;;;;;;;;;;OkyltE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2375;occuper;;;;Okypa;OkypEr;Okypa;Okyp6rô;Okyp6rE;Okyp6re;Okyp6ra;Okyp6rô;Okyp6ra;;OkypE;;OkypE;OkypE;OkypE;Okype;;;;;;Okypa;Okypô;Okype;Okyp;Okypâ;;Okyp6rE;;;Okyp6rE;Okyp6rE;Okypô;Okyp;Okype;Okyp;Okyp;Okyp;;;Okyp;;Okyp;;Okyp
2376;octroyer;;;;;;Oktrwaja;;;;;;Oktrwara;;;;;;OktrwajE;;;;;;;;;;;Oktrwajâ;;;;;;;;Oktrwa;;;Oktrwa;Oktrwa;;;;;;;
2377;oeuvrer;;;;;;;;;;;;;;;;;;6vrE;6vre;;;;;;;;;9vr;;;;;;;;;9vr;;;;9vr;;;;;;;
2378;offenser;;;;;;;;;;;;;;OfâsE;;;OfâsE;OfâsE;Ofâse;;;;;;;;Ofâse;Ofâs;Ofâsâ;;;;;;;;Ofâs;Ofâse;;Ofâs;Ofâs;;;;;;;
2379;officier;;;;;;;;;;;;;;;;;OfisjE;;Ofisje;;;;;;;;;;;;;;;;;;Ofisi;;;;Ofisi;;;;;;;
2380;offrir;;Ofri;;;Ofrir;Ofri;;OfrirE;Ofrire;;Ofrirô;Ofrira;Ofriô;OfrE;Ofrie;OfrE;OfrE;OfrE;Ofrir;;;;;;;Ofrô;Ofre;Ofr;Ofrâ;;OfrirE;;OfrirE;OfrirE;OfrirE;Ofrô;Ofr;Ofre;Ofr;Ofr;Ofr;;;Ofr;;Ofr;;Ofr
2381;offusquer;;;;;;;;;;;;;;;;;;OfyskE;Ofyske;;;;;;;;;Ofysk;Ofyskâ;;;;;;;;;;;;Ofysk;;;;;;;
2382;ombrager;;;;;;;;;;;;;;;;;ôbraZE;;ôbraZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383;ombrer;;;;;;ôbra;;;;;;;;;;;;;ôbre;;;;;;;;;ôbr;ôbrâ;;;;;;;;;;;;ôbr;;;;;;;
2384;omettre;;;;;;Omi;;OmEtrE;;;;;;;;;OmEtE;OmEtE;OmEtr;;;;;;;;;;OmEtâ;;;;;;;;;OmEte;;;;;;;;;;
2385;ondoyer;;;;;;;;;;;;;;;;;ôdwajE;ôdwajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2386;onduler;;;;;;;;;;;;;;;;;ôdylE;ôdylE;ôdyle;;;;;;;;;ôdyl;ôdylâ;;;;;;;;ôdyl;;;ôdyl;ôdyl;;;;;;;
2387;opacifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Opasifjâ;;;;;;;;;;;;Opasifi;;;;;;;
2388;opiner;;;;;;Opina;;;;;;;;;;;;OpinE;Opine;;;;;;;;;Opin;;;;;;;;;Opin;;;;Opin;;;;;;;
2389;opposer;;;;;OpOzEr;OpOza;OpOz6rô;OpOz6rE;;;;;;;;OpOzE;OpOzE;OpOzE;OpOze;;;;;;;;OpOze;Opoz;OpOzâ;;;;OpOz6rE;;;OpOzô;Opoz;OpOze;;Opoz;Opoz;;;;;;;Opoz
2390;oppresser;;;;;;;;;;;;;;;;;OprEsE;OprEsE;;;;;;;;;;;;;;;;;;;OprEs;;;;OprEs;;;;;;;
2391;opprimer;;;;;;;;;;;;;;;;;;OprimE;Oprime;;;;;;;;;Oprim;;;;;;;;;Oprim;;;;Oprim;;;;;;;
2392;opter;;OptE;;;;Opta;;;;;;;;;;;;;Opte;;;;;;;;;;;;;;;;;;;;;Opt;Opt;;;;;;;
2393;optimiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Optimiz;;;;;;;
2394;opérer;;;;;;OpEra;;;;;;;OpErjô;OpErE;;OpErE;OpErE;OpErE;OpEre;;;;;;;;OpEre;OpEr;OpErâ;;;;;;;OpErô;OpEr;OpEre;;OpEr;OpEr;;;;;;;OpEr
2395;orchestrer;;;;;;OrkEstra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OrkEstr;;;;OrkEstr;;;;;;;
2396;ordonner;;;;;;OrdOna;;OrdOn6rE;;;;OrdOn6ra;;OrdOnE;;;OrdOnE;OrdOnE;OrdOne;;;;;;;OrdOnô;OrdOne;OrdOn;OrdOnâ;;;;;;;OrdOnô;OrdOn;OrdOne;OrdOn;OrdOn;OrdOn;;;;;;;
2397;organiser;;OrganizE;;;;Organiza;;Organiz6rE;;;;Organiz6ra;;;;OrganizE;OrganizE;OrganizE;Organize;;;;;;;;Organize;Organiz;Organizâ;;;;;;;Organizô;Organiz;Organize;Organiz;Organiz;Organiz;;;Organiz;;;;Organiz
2398;orienter;;;;;;Orjâta;;;;;;;;;;;;OrjâtE;Orjâte;;;;;;;;;Orjât;Orjâtâ;;;;;;;;Orjât;;;;Orjât;;;;;;;
2399;orner;;;;;;;;;;;Orn6rô;;;;;;OrnE;OrnE;Orne;;;;;;;;;Orn;Ornâ;;;;;;Orn6rE;;;;;Orn;Orn;;;;;;;
2400;osciller;;;;;OsilEr;Osila;;;;;;;;OsilE;;;OsilE;OsilE;Osile;;;;;;;;;Osil;Osilâ;;;;;;;;Osil;;;;Osil;;;;;;;
2401;oser;;OzE;;;OzEr;Oza;;Oz6rE;;Oz6ra;Oz6rô;Oz6ra;;OzE;Ozje;OzE;OzE;OzE;Oze;;;;;;Oza;Ozô;Oze;oz;Ozâ;;Oz6rE;Oz6rje;Oz6rE;;Oz6rE;Ozô;oz;Oze;oz;oz;oz;;;;;;;oz
2402;oublier;;ubliE;;;ubliEr;ublia;ublirô;ublirE;ublire;ublira;ublirô;ublira;;ubliE;;ubliE;ubliE;ubliE;ublie;;;;;;;ubliô;ublie;ubli;ubliâ;;ublirE;;ublirE;;ublirE;ubliô;ubli;ublie;ubli;ubli;ubli;;;ubli;;ubli;;ubli
2403;ouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;uj;;;;;;;;;;;;;uj;;;;;;;
2404;ourdir;;;;;;;;;;;;;;;;;;urdisE;;;;;;;;;;;;;;;;;;;;;;;urdi;;;;;;;
2405;outrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;utraZâ;;;;;;;;utraZ;utraZe;;;utraZ;;;;;;;
2406;outrepasser;;;;;;;;;;;;;;;;;;;utr6pase;;;;;;;;;;;;;;;;;;utr6pas;;;;;;;;;;;
2407;outrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;utr;;;;;;;;;;;;;utr;;;;;;;
2408;ouvrir;;uvri;;uvri;uvrir;uvri;uvrirô;uvrirE;uvrire;uvrira;uvrirô;uvrira;uvriô;uvrE;;uvrE;uvrE;uvrE;uvrir;;;;;;;uvrô;uvre;uvr;uvrâ;;uvrirE;uvrirje;uvrirE;uvrirE;uvrirE;uvrô;uvr;uvre;uvr;uvr;uvr;;;;;uvr;uvr;uvr
2409;ouïr;;;;;;wi;;;;;;;;;;;;;wir;;;;;;;;Oje;wa;;;;;;;;;;Oje;wa;;;;;wa;;;;
2410;oxyder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oksid;;;;;;;
2411;oxygéner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OksiZEn;;;;;;;
2412;pacifier;;;;;;;;;;;;;;;;;;;pasifje;;;;;;;;;;;;;;;;;;;;;;pasifi;;;;;;;
2413;pactiser;;;;;;;;;;;;;;;;;;;paktize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2414;pagayer;;;;;;;;;;;;;;;;;;;;;;;;;;;pagEje;pagE;pagEjâ;;;;;;;;;;;;pagE;;;;;;;
2415;paillarder;;;;;;;;;;;;;;;;;;pajardE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2416;palabrer;;;;;;;;;;;;;;;;;;palabrE;palabre;;;;;;;;;;;;;;;;;;;;;palabr;;;;;;;;
2417;palisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;palisâ;;;;;;;;;;;;;;;;;;;
2418;pallier;;;;;;;;;;;;;;;;;;;palje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2419;palper;;;;;;palpa;;palp6rE;;;;;;;;;palpE;palpE;palpe;;;;;;;;;palp;palpâ;;;;;;;;palp;;;;palp;;;;;;;
2420;palpiter;;;;;palpitEr;;;;;;;;;;;;palpitE;palpitE;palpite;;;;;;;;;palpit;palpitâ;;;;;;;;palpit;;;palpit;palpit;;;;;;;
2421;panacher;;;;;;;;;;;;;;;;;;panaSE;;;;;;;;;;;;;;;;;;;;;;;panaS;;;;;;;
2422;paniquer;;;;;;;;;;;;;;;;;;panikE;panike;;;;;;;panikô;panike;panik;;;;;;panik6rE;;;panik;panike;panik;;panik;;;;;panik;;
2423;panner;;;;;;pana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2424;panser;;;;;;;;;;;;;;;;;;;pâse;;;;;;;;;;;;;;;;;;;;;;pâs;;;;;;;
2425;panteler;;;;;;;;;;;;;;;;;;pât6lE;;;;;;;;;;;pât6lâ;;;;;;;;;;;;;;;;;;;
2426;papilloter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;papijOtâ;;;;;;;;;;;papijOt;;;;;;;;
2427;papoter;;;;;;;;;;;;;;;;;;;papOte;;;;;;;;;papOt;papOtâ;;;;;;;;;;;;;;;;;;;
2428;parachever;;;;;;;;;;;;;;;;;;;paraS6ve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
