;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
449;garrotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;garOt;;;;;;;;;;;;;;
450;gazer;;;;;;;;;;;;;;;;;;;;;;;gaz;;;;;;;;;;;;;;;;;;;;;;;
451;geler;;;;;;;;;;;;;;;;Z6lE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;glacer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;glase;;;;;;;;;
453;glisser;;;;;;;;;;;;;;;;glisE;;;;;;;glis;;;;;;;;;;;;;glis;;;;;;;;;;
454;gommer;;;;;;;;;;;;;;;;;;;;;;;;gOmâ;;;;;;;;;;;;;;;;;;;;;;
455;gonfler;;;;;;;;;;;;;;;;;;;;;;;gôfl;;;;;;;;;;;;;;gôfle;;;;;;;;;
456;goutter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gut;;;;;;;;;;;;;;
457;grandir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grâdi;;grâdi;;;;grâdi;;;;;;
458;graver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grave;;;;;;;;;
459;gravir;;;;;;;;;;;;;;;;;gravir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460;grelotter;;;;;;;;;;;;;;;;;;;;;;;;gr6lOtâ;;;;;;;;;;;;;;;;;;;;;;
461;grogner;;;;grOJa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462;guetter;;;;;;;;;;;;;;;;;;;;;;;gEt;;;;;;;;;gEt;;;;gEt;;;;;;;;;;
463;gueuler;;;;;;;;;;;;;;;;g6lE;;;;;;;;;;;;;;;;g9l;;;;;;;;;;;;;;
464;guider;;;;;;;;;;;;;;;;;;;;;;;gid;;;;;;;;;;;;;;;;;gide;;;;;;
465;guérir;;;;;;;;;;gErira;;;;;;;gErir;;;;;;;;;;;;;;;;;;;;;;;gEri;;;;;;
466;gâcher;;;;;;;;;;;;;;;;;gaSe;;;;;;;;;;;;;;;;;;;;;;;gaSe;;;;;;
467;gémir;;;;;;;;;;;;;;;;ZEmisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;gérer;;;;;;;;;;;;;;;;;ZEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;gêner;;;;;;;;;;;;;;;;;;;;;;;ZEn;;;;;;;;;ZEn;;;;;;;;ZEne;;;;;;
470;habiller;;;;;;;;;;;;abijE;;;;;;;;;;abije;;;;;;;;;;;;;;abij;;;;;;;;;;
471;habiter;;;;;;;;;;;;;;;abitE;;;;;;;abite;abit;;;;;;;;;abit;;;;;;;;;;;;;;abit
472;habituer;;;;;;;;;;;;;;;;;;;;;;;abity;;;;;;;;;;;;;;;;;;;;;;;
473;hanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âte;;;;;;
474;harper;;;;;;;;;;;;;;;;;arpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;hausser;;;;Osa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;haïr;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;E;;;;;;;;;;;;
477;hisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;is;;;;;;;;;;;
478;hocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OS;;;;;;;;;;;;;;
479;hospitaliser;;;;;;;;;;;;;;;;;Ospitalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;hurler;;;;;;;;;;;;;;;;;yrle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;hypothéquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ipOtEk;;;;;;;;;;;;;;
482;hâter;;;;;;;;;;;;;;;;;;;;;;;at;;;;;;;;;;;;;;;;;;;;;;;
483;hésiter;;;;;;;;;;;;;;;;;Ezite;;;;;;;;;;;;;;;Ezit;Ezite;;;Ezit;;;;;;;;;;
484;identifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;idâtifi;;;;
485;ignorer;;;;;;;;;;;;;;iJOrE;iJOrE;;iJOre;;;;;;iJOr;;;;;;;;;iJOr;;;;iJOr;;;;;;;;;;
486;illuminer;;;;;;;;;;;;;;;;ilyminE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;illustrer;;;;;;;;;;;;;;;;ilystrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;imaginer;;;;;;;;;;;;imaZinE;;;;;imaZine;;;;;;imaZin;;;;;;;;;imaZin;;;;imaZin;;;;;;imaZin;;imaZin;;imaZin
489;imiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imit;;;;;;;;;;
490;immatriculer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imatrikyle;;;;;;;;
491;implorer;;;;;;;;;;;;;;;;êplOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;importer;;;;;;;;;;;;;;;;;;;;;;;êpOrt;;;;;;;;;êpOrt;;;;êpOrt;;;;;;;;;;
493;imposer;;;;êpOza;;;;;;;;;;;;;;;;;;;êpoz;;;;;;;;;;;;;;;;;;;;;;;
494;impressionner;;;;;;;;;;;;;;;;;êprEsjOne;;;;;;;;;;;;;;;êprEsjOn;;;;;;;;;;;;;;
495;indigner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êdiJe;;;;;;;
496;indiquer;;;;;;;;;;;;;;;;êdikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497;infliger;;;;;;;;;;;;;;;;;êfliZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;infléchir;;;;;;;;;;;;;;;;;êflESir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;injurier;;;;;;;;;;;;;;;;;êZyrje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;inonder;;;;;;;;;;;;;;;;inôdE;;;;;;;;;;;;;;;;inôd;;;;;;;;;;;;;;
501;inquiéter;;;;;;;;;;;;;;;;;;;;;;êkjEte;êkjEt;;;;;;;;;êkjEt;;;;êkjEt;;;;;;êkjEt;;;;êkjEt
502;inscrire;;;;;;;;;;;;;;;;;êskrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503;insister;;;;;;;;;;;;;;;;;êsiste;;;;;;;;;;;;;;;êsist;;;;êsist;;;;;;;;;;
504;inspecter;;;;;;;;;;;;;;;;;êspEkte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
505;inspirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êspir;;;;;;;;êspire;;;;;;
506;installer;;;;;;;;;;;;;;;;êstalE;;;;;;;;;;;;;;;;;;;;êstal;;êstale;êstale;êstale;;;;;;
507;instruire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êstrHi;;;;;;;;;;
508;interdire;;;;;;;;;;;;;;;;;;;;;;;;êtErdizâ;;;;;;;;;;;;;;êtErdit;;êtErdi;;;;;;
509;interner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtErne;;;;;;;;
510;interroger;;;;;;;;;;;;;;;;;êtErOZe;;;;;;êtErOZ;;;;;;;;;;;;;êtErOZ;;;;;;;;;;êtErOZ
511;intimider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtimide;;;;;;
512;intriguer;;;;;;;;;;;;;;;;;êtrige;;;;;;êtrig;;;;;;;;;;;;;;;;;;;;;;;
513;introduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtrOdHi;;;;;;;;;;
514;intéresser;;;êtErEsEr;;;;;;;;;;;;;êtErEsE;;;;;;;êtErEs;;;;;;;;;êtErEs;;;;êtErEs;;;;;;êtErEs;;;;êtErEs
515;inventer;;;;;;;;;;;;;;;;;;;;;;;êvât;;;;;;;;;êvât;;;;;;;;êvâte;;;;;;
516;inverser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êvErse;;;;;;;
517;inviter;;;;êvita;;;;;;;;;;;;;;;;;;;êvit;;;;;;;;;êvit;;;;;;;;;;êvit;;;;
518;irriter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;irit;;;;;;;;;;;
519;jacasser;;;;;;;;;;;;;;;;;Zakase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;jauger;;;;;;;;;;;;;;;;ZOZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;jeter;;;;Z6ta;;;;;;;;;;;;;Z6te;;;;;;ZEt;Z6tâ;;;;;;;;;;;;ZEt;;Z6te;;;;ZEt;;;ZEt;ZEt
522;joindre;;;;;;;;;;;;;;;;;Zwêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
523;jouer;;;;;;;;;;;;ZuE;;;;ZuE;Zue;;;;;;Zu;;;;;;;;Zuô;Zu;;Zu;;Zu;;;;Zue;;;;Zu;;Zu
524;jubiler;;;;;;;;;;;;;;;;ZybilE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;juger;;;;;;;;;;;;;;;;;ZyZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;jurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zyr6rE;;;;Zyr;;;;Zyr;;;;;;Zyr;;;;
527;laisser;;;;lEsa;;lEs6rE;;;;lEs6ra;;;;;;;lEse;;;;lEsô;lEse;lEs;;;;;;;;;lEs;lEse;lEs;lEs;lEs;;;;lEse;;lEs;;lEs;;lEs
528;lancer;;;;;;;;;;;;;;;;lâsE;lâse;;;;lâsô;;;;;;;;;;;lâs;;;;lâs;;;;;;;;;;
529;languir;;;;;;;;;;;;;;lâgisE;;;;;;;;;;;;;;;;;;;;lâgi;;;;;;;;;;;;
530;lasser;;;;;;;;;;;;;;;;;lase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;laver;;;;;;;;;;;;;;;;;;;;;;;lav;;;;;;;;;;lave;lav;;;;;;;;;;;;lav
532;lever;;;l6vEr;;;;;;;;;;;;l6vE;l6vE;l6ve;;;;;;lEv;l6vâ;;;;;;;;lEv;;;;lEv;;l6ve;;;;lEv;;;;
533;libérer;;;;;;;;;;;;;;;;;;;;;libErô;;;;;;;;;;;;;;;;;libEre;;libEre;;;;;;
534;licencier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lisâsje;;;;;;;;
535;lier;;;;;;;;;;;;;;;;;lje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;ligoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ligOt;;;;ligOt;;;;;;;;;;
537;lire;;;;;;;;;;;;;;;;;lir;;;;;;li;;;;;;;;;li;;;;li;;;;ly;;;;;;
538;livrer;;;;;;;;;;;;;;;;;livre;;;;;;livr;;;;;;;;;livr;;;;;;;livre;;;;;;;livr
539;localiser;;;;;;;;;;;;;;;;;lOkalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;loger;;;;;;;;;;;;;;;;lOZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;longer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lôZ;;;;;;;;;;
542;louper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lup;;;;;;;;;;
543;luire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lHi;;;;;;;;;;;;;;
544;lutter;;;;;;;;;;;;;;;;;;;;;;;lyt;;;;;;;;;;;;;;;;;;;;;;;
545;lâcher;;;;;;;;;;;;;;;laSE;;laSe;;;;;laSe;laS;;;;;;;;;laS;laSe;;;laS;;;;;;;;;;laS
546;maintenir;;;;;;;;;;;;;;;;;;;;;;;;mêt6nâ;;;;;;;;;;;;mêtjê;;;;;;;;;;
547;malaxer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;malaks;;;;malaks;;;;;;;;;;
548;mander;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mâd;;;;;;;;;;
549;manger;;;;;;mâZ6rE;;;;;;;;;;;mâZe;;;;;mâZe;mâZ;;;;;;;;;;;;mâZ;;;;;mâZe;;;;;;
550;manquer;;;;;;;;;;;;;;;mâkE;;mâke;;;;;;;;;;;;;;;mâk;;;mâk;mâk;;;;;;;;;;
551;marcher;;;;;;;;;;;;marSE;;;;marSE;marSe;;;;;marSe;marS;;;;;;;marS6rE;;;;;marS;marS;;;;;;;;;;marS
552;marier;;;;;;;;;;;;;;;;;marje;;;;;;;;;;;;;;;;;;;;;marje;marje;marje;;;;;;mari
553;marquer;;;;;;;;;;;;;;;;;marke;;;;;;;;;;;;;;;;;;;;;;;marke;;;;;;
554;mater;;;;;;;;;;;;matE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;matérialiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;matErjaliz;;;;;;;;;;
556;maudire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOdi;;;;;;;;;;;;;;
557;maîtriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEtrizô;;;;;;;;;;;;;;;
558;menacer;;;;;;;;;;;;;;;;;;;;;;;m6nas;;;;;;;;;m6nas;;;;;m6nase;;;;;;;;;
559;mener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEn;;;;m6ne;;;;;;
560;mentir;;;;;;;;;;;;;;;;;;;;;;;mâ;;;;;;;;;;;;;;;;;;;;;;;
561;mesurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m6zyr;;;;;;;;;;;
562;mettre;mi;mi;;mi;;;;;;;;;;;mEtE;;mEtr;;;;;mEte;mE;;;;;;;mEtrE;;mE;mEte;mE;;mE;;;;;;mEt;;;mEt;mEt
563;mijoter;;;;;;;;;;;;;;;;;miZOte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;modifier;;;;;;;;;;;;;;;;;mOdifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;monter;;;;;;;;;;;;;;;;môtE;môte;;;;;;môt;;;;;;;;;môt;;;;môt;môte;;;;;;;;;môt
566;montrer;;;;môtra;;;;;;;;;;;;;môtre;;;;môtrô;;môtr;;;;;;;;;môtr;môtre;;môtr;môtr;;;;môtre;;;;;;môtr
567;moquer;;;;;;;;;;;;;;;;;;;;;;;mOk;;;;;;;;;;;mOk;;;;;;;;;;;;
568;mordre;;;;;;;;;;;;;;mOrdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;motiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOtiv;;;;;;;;;;;;;;
570;mouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;muje;;;;;;;;
571;mourir;;;;;;;;;;;;;;;;;murir;;;;;;;;;;;;;;;m9r;;;;;;mOrt;;mOr;;m9r;;;;
572;murmurer;;;;;;;;;;;;;;;;;;;;;;;;myrmyrâ;;;;;;;;;;;;;;;;;;;;;;
573;méfier;;;;;;;;;;;;;;;;;;;;;;mEfje;;;;;;;;;;;;;;;;;;;;;;;;
574;mélanger;;;;;;;;;;;;;;;;;mElâZe;;;;;;mElâZ;;;;;;;;;;;;;;;;;;;;;;;
575;méprendre;;;;;;;;;;;;;;;;;mEprâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;mépriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEpriz;;;;;;;;;;;;;;
577;mériter;;;;;;;;;;;;;;;;mEritE;;;;;;;mErit;;;;;;;;;mErit;;;mErit;;;;;;;mErit;;;;
578;mêler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEl;;;;;;mEl;;;;
579;navrer;;;;;;;;;;;;;;;;;;;;;;;navr;;;;;;;;;;;;;;;;;;;;;;;
580;naître;;;;;;;;;;;;;;;;;nEtr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;nettoyer;;;;;;;;;;;;;;;;;nEtwaje;;;;;;;;;;;;;;;;;;;nEtwa;;;;;;;;;;nEtwa
582;nier;;;;;;;;;;;;;;;;;;;;;;;ni;;;;;;;;;;;;;;;;;;;;;;;
583;nommer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nOme;;;;;;
584;noter;;;;;;;;;;nOt6ra;;;;;;;;;;;;;;;;;;;;;;;;;;nOt;;;;;;;;;;
585;nourrir;;;;;;;;;;;;;;;;;nurir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;noyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nwaje;;;;;;;
587;obliger;;;;;;;;;;;;;;;;;;;;;;;ObliZ;;;;;;;;;ObliZ;;;;;;;ObliZe;;;;;;;
588;obliquer;;;;Oblika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;observer;;;;ObsErva;;;;;;;;ObsErvE;;;;;;;;;;;ObsErv;;;;;;;;;ObsErv;;;;;;;ObsErve;;;;;;;ObsErv
590;obséder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ObsEde;;;;;;;;
591;occuper;;;;Okypa;;Okyp6rE;;;Okyp6rô;;;;;;;;Okype;;;;;;Okyp;;;;;;;;;Okyp;;;;Okyp;;;Okype;;;Okyp;;;;Okyp
592;officier;;;;;;;;;;;;;;;;;Ofisje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;offrir;;;;;;;;;;;;;;;;;Ofrir;;;;;;Ofr;;;;;;;;;Ofr;;;;;;;;OfEr;;Ofr;;;;Ofr
594;opposer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OpOze;;;;;;;
595;ordonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OrdOn;;;;;;;;;;
596;organiser;;;;;;;;;;;;;;;;;Organize;;;;;;;;;;;;;;;;;;;;;;;Organize;;;;;;
597;oser;;;;Oza;;;Oz6re;;;;;;;;;;Oze;;;;;;;;;;;;;;;;;oz;;oz;;;;Oze;;;;;;
598;oublier;;;;;;;ublire;;;;;;;;;ubliE;ublie;;;;;ublie;ubli;;;;;ublirE;;;;ubli;;;;ubli;ublie;;;ublie;;ubli;;ubli;;ubli
599;ouvrir;;;;uvri;;;;;;;;;;;;;uvrir;;;;;;uvr;;;;;;;;;uvr;;;;uvr;;uvErt;;;;;;;;uvr
600;paillarder;;;;;;;;;;;;;;;;pajardE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;paraître;;;;;;;;;;parEtra;;;;;parEsE;;;;;;;;;;;;;;;;;;;;;parE;;;;;;;;;;
602;pardonner;;;;;;pardOn6rE;;;;;;;;;;;pardOne;;;;;;;;;;;;;;;pardOn;;;;pardOn;;;;;;;;;;
603;parfaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parfE;;parfEt;;parfE;;;;;;
604;parier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pari;;;;;;;;;;
605;parler;;;;parla;;;parl6re;;;;;;;;parlE;parlE;parle;;;;parlô;parle;parl;;;;;;;parl6rE;;parl;parle;parl;;parl;;;;parle;;parl;;;;parl
606;partager;;;;;;partaZ6rE;;;;;;;;;;;partaZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
607;partir;parti;parti;;parti;;partirE;;;;;;;;;;partE;partir;;;;partô;parte;par;partâ;;;;;;;;par;parte;par;;par;;parti;;parti;;part;;;;part
608;parvenir;;;;parvê;;;;;;;;;;;;;parv6nir;;;;parv6nô;;;;;;;;;;;;;;;parvjê;;;;;;;;;;
609;passer;;;pasEr;pasa;;;;;;;;;;;;pasE;pase;;;;;pase;pas;pasâ;;;;;;;;pas;pase;;pas;pas;;;pase;pase;;pas;;;;pas
610;patienter;;;;pasjâta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pasjât;;;;;;;;;;
611;patiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;patin;;;;;;;;;;
612;payer;;;;;;;;;;;;;;;;pEjE;pEje;;;;;;pE,pEj;;;;;;;;;pE,pEj;;;;pEj;;pEje;pEje;;;pE,pEj;;;;pE
613;peindre;;;;;;;;;;;;;;;;;pêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;pencher;;;;pâSa;;;;;;;;;;;;;pâSe;;;;;;;;;;;;;;;;;;;pâS;;;;;;;;;;
615;pendre;;;;;;;;;;;;;;;pâdE;;;;;;;;;;;;;;;;;;;;;;;;pâdy;;;;;;;
616;penser;;;;;;;;;;;;pâsE;;pâsE;;pâsE;pâse;;;pâsa;;pâse;pâs;pâsâ;;;;;;;pâsô;pâs;pâse;pâs;pâs;pâs;;;;pâse;;pâs;;pâs;;pâs
617;perdre;;;;;;;;;;;;;;;;;pErdr;;;;;;pEr;pErdâ;;;;;;;;pEr;;;;;;;;pErdy;;pErd;;;;
618;permettre;;;;;;;;;pErmEtrô;;;;;;;;pErmEtr;;;;;pErmEte;pErmE;;;;;;;pErmEtrE;;;pErmEte;pErmE;;;;;;;;;;;;
619;persuader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErsyade;;;;;;
620;peser;;;;;;;;;;;;;;;;p6zE;;;;;;;pEz;;;;;;;;;;;;;;;;;;;;;;;
621;peupler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;p6ple;;;;;;
622;picoler;;;;;;;;;;;;;;;;;pikOle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;piger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;piZ;;
624;pinailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pinaj;;;;;;;;;;
625;piquer;;;;pika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pik;;;;;;;;;;
626;pisser;;;;;;;;;;;;;;;;;;;;;;;pis;;;;;;;;;;;;;pis;;;;;;;;;;
627;piétiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pjEtin;;;pjEtine;;;;;;;
628;placer;;;;;;;;;;;;;;;;;plase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;plaindre;;;;;;;;;;;;;;;;;;;;;;;plê;;;;;;;;;;;plê;;plê;;;;plê;;;;;;
630;plaire;;;;;;;;;;;;;;;;plEzE;;;;;;;;;;;;;;;;;;;;plE;;;;;;;;;;
631;plaisanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plEzât;;;;;;;;;;;;;;plEzât
632;planquer;;;;;;;;;;;;;;;;;plâke;;;;;;;;;;;;;;;;plâke;;;plâk;;;;plâke;;;;;;
633;planter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plâte;plâte;;;;;;
634;plaquer;;;;plaka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
635;pleurer;;;;;;;;;;;;;;;;;pl6re;;;;;;;;;;;;;;;pl9r;;;;pl9r;;;;;;;;;;pl9r
636;plisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plise;;;;;;;;
637;plonger;;;;;;;;;;;;;;;;;plôZe;;;;;;plôZ;;;;;;;;;;;;;;;;;plôZe;;;;;;
638;ployer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plwaje;;;;;;
639;pointer;;;;;;;;;;;;;;;;;pwête;;;;;;pwêt;;;;;;;;;pwêt;;;pwêt;pwêt;;;;;;;;;;
640;polir;;;;;;;;;;;;;;;;;pOlir;;;;;;;;;;;;;;;;;;;;;;;pOli;;;;;;
641;polluer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOlye;;;;;;
642;porter;;;;;;;;;;;;;;pOrtE;;pOrtE;pOrte;;;;;;pOrt;;;;;;;;;pOrt;;;;pOrt;;;;pOrte;;pOrt;;;;pOrt
643;poser;;;;;;;;;;;;pOzE;;;;pOzE;pOze;;;;;;;pOzâ;;;;;;;;poz;;;;poz;;pOze;;;;poz;;;;
644;posséder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOsEd;;;;;;;;;;;;;;pOsEd
645;poster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOst;;;;;;;;;;;;;;
646;poursuivre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pursHiv;;;;;;;;;;;
647;pousser;;;;pusa;;;;;;;;;;;pusE;;;;;;;;pus;;;;;;;;;pus;;;;pus;;;;;;;;;;
648;pouvoir;;;;;;purE;pure;pura;purô;pura;;puvE;;puvE;puvE;puvE;puvwar;;;py;;;;puvâ;;purE;;purE;purE;purE;;p2;puve;p2;p9v;p2;;;;;;pHis;;;pHis;
649;pratiquer;;;;;;;;;;;;;;;;;pratike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
650;prendre;pri;pri;;pri;;prâdrE;;;;;;pr6nE;;;;pr6nE;prâdr;;;;pr6nô;pr6ne;prâ;;;prâdrE;;prâdrE;;;pr6nô;prâ;pr6ne;prâ;prEn;prâ;;priz;;;;;;;;
651;presser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prEs;;;;;;;;;;
652;prier;;;;;;;;;;;;;;;;;prie;;;;;;pri;;;;;;;;;pri;;;;;;;;prje;;pri;;;;
653;priser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prize;;;;;;;
654;priver;;;;;;;;;;;;;;;privE;;prive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
655;produire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prOdHi;;;;;;;;;;
656;profiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prOfit;;;;;;;;;;;;;;
657;progresser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prOgrEs;;;;;;;;;;
658;projeter;;;;;;;;;;;;;;;;prOZ6tE;;;;;;;;;;;;;;;;;;;;;;prOZ6te;prOZ6te;;;;;;;
659;promettre;prOmi;prOmi;;;;;;;;;;prOmEtE;;;;;;;;;;;;;;;;;;;;;;prOmE;;prOmE;;prOmiz;;;;;;;;
660;prononcer;;;;;;;;;;;;;;;;;prOnôse;;;;;;prOnôs;;;;;;;;;;;prOnôs;;prOnôs;;;;;;;;;;
661;proposer;;;;prOpOza;;;;;;;;prOpOzE;;prOpOzE;;;prOpOze;;;;;;prOpoz;;;;;;;;;prOpoz;;;;;;;;;;;;;;
662;prosterner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prOstErne;;;;;;;;
663;protéger;;;;;;;;;;;;;;;;;prOtEZe;;;;;;;;;;;;;;;prOtEZ;;;;;;prOtEZe;;prOtEZe;;;;;;
664;prouver;;;;;;;;;;;;;;;;;;;;;;;pruv;;;;;;;;;pruv;;;;pruv;;;;;;pruv;;;;pruv
665;provoquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prOvOk;;;;;;;;;;;;;;
