;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
111;bouffer;;;;;;;;;;;;;;;;;bufe;;;;;;;;;;;;;;;;;;;;;;;bufe;;;;;;
112;bouger;;;;;;;;;;;;;;;;buZE;;;;;;;buZ;;;;;;;;;buZ;;;;buZ;;;;buZe;;;;;;
113;bouillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bu;;;;;;;;;;
114;bouleverser;;;;;;;;bul6vErs6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;bourrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bur;;;;;;;;;;
116;bousculer;;;;;;;;;;;;;;;;;buskyle;;;;;;;buskylâ;;;;;;;;;;;;;;;;buskyle;;;;;;
117;bousiller;;;;;;;;;;;;;;buzijE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;brandir;;;;;;;;;;;;;;;;;;;;;;;;brâdisâ;;;;;;;;;;;;;;;;;;;;;;
119;brasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;brase;;;;;;
120;bredouiller;;;;br6duja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;briser;;;;;;;;;;;;;;;;brizE;;;;;;;;;;;;;;;;;;;;;;;brize;;;;;;;
122;brosser;;;;;;;;;;;;;;;;;brOse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;brûler;;;;;;;;;;;;;;;;;;;;;;bryle;bryl;;;;;;;;;bryl;;;;bryl;;;;bryle;;;;;;bryl
124;buter;;;;;;;;;;;;;;;;;;;;;;;;bytâ;;;;;;;;;;;;;;;;;;;;;;
125;bâtir;;;;;;;;;;;;;;;;;batir;;;;;;;;;;;;;;;;;;;;;bati;;;;;;;;
126;bénir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bEni;;bEnis;;;;
127;bénéficier;;;;;;;;;;;;;;;bEnEfisjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;cabosser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kabOse;;;;;;
129;caboter;;;;;;;;;;;;;;;;kabOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;cacher;;;;;;;;;;;;kaSE;;;;;kaSe;;;;;;kaS;;;;;;;;;kaS;kaSe;;;;;;;;;kaS;;kaS;;kaS
131;cadenasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kad6nase;;;;;;;;
132;calculer;;;;;;;;;;;;;;;;;kalkyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;calmer;;;;;;;;;;kalm6ra;;;;;;;kalme;;;;;kalme;;;;;;;;;;;kalme;;;kalm;;;;;;kalm;;;;kalm
134;carder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;karde;;;;;;
135;caresser;;;;;;;;;;;;;;;;;karEse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;karEs
136;casser;;;;;;;;;;;;;;;;;;;;;;;kas;;;;;;;;;kas;;;;kas;;;;kase;;kas;;;;kas
137;causer;;;;;;;;;;;;;;;;kOzE;;;;;;;;kOzâ;;;;;;;;koz;;;;;;kOze;;;;;;;;
138;cerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sErne;;;;;;
139;cesser;;;;;;;;;;;;;;;;;;;;;;sEse;;;;;;;;;;sEs;sEse;;;;;;;sEse;;;;;;
140;changer;;;;;;;;;;;;;;;;;SâZe;;;;;;SâZ;;;;;;;;;;SâZe;;;SâZ;;;;SâZe;;SâZ;;;;
141;chanter;;;;;;;;;;;;;;;SâtE;;Sâte;;;;;;Sât;;;;;;;;;;;;;Sât;;;;;;;;;;
142;chantonner;;;;;;;;;;;;;;;;;SâtOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;charger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SarZ;;;;;;;;SarZe;;SarZ;;;;SarZ
144;charrier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sari;;;;;;;;;;;;;;
145;chasser;;;;Sasa;;;;;;;;;;;;;;;;;;;Sas;;;;;;;;;;;;;Sas;;;;;;;;;;
146;chauffer;;;;;;;;;;;;;;;;;SOfe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;chavirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Savire;;;;;;
148;chercher;;;;;;;;;;;;SErSE;;;;;SErSe;;;;;SErSe;SErS;;SErS6rjô;SErS6rE;;;;;;SErS;SErSe;SErS;;;;SErSe;;;;SErS;;;;SErS
149;chier;;;;;;;;;;;;;;;;;Sje;;;;;;;;;;;;;;;Si;;;;;;;;;;;;;;
150;choir;;;;;;;;;;;;;;;;;Swar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;choisir;;;;;;;;;;;;;;;;;Swazir;;;;;Swazise;Swazi;;;;;;;;;;;Swazi;;;;;;Swazi;;;;;;
152;chuchoter;;;;SySOta;;;;;;;;;;;;;;;;;;;SySOt;SySOtâ;;;;;;;;;;;;SySOt;;;;;;;;;;
153;chuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Syt;;;;;;;;;;;;;;
154;claquer;;;klakEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klak;;;;klak;;;;;;;;;;
155;cogiter;;;;;;;;;;;;;;;;;kOZite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;cogner;;;;;;;;;;;;;;;;;kOJe;;;;;;;;;;;;;;;;;;;kOJ;;;;;;;;;;
157;coincer;;;;;;;;;;;;;;;;;;;;;;kwêse;;;;;;;;;;;;;;;;kwêse;;;;;;;;
158;collaborer;;;;;;;;;;;;;;;;;kOlabOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;coller;;;;;;;;;;;;;;;;kOlE;;;;;;;;;;;;;;;;;;;;;;;;kOle;;;;;;
160;colporter;;;;;;;;;;;;;;;;kOlpOrtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;combattre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôbaty;;;;;;
162;commander;;;;;;;;;;;;;;;;;kOmâde;;;;;;kOmâd;;;;;;;;;kOmâd;;;;kOmâd;;;;;;;;;;kOmâd
163;commencer;;;;kOmâsa;;;;;;;;;;;;kOmâsE;kOmâse;;;;;;kOmâs;;;;;;;;;kOmâs;kOmâse;kOmâs;kOmâs;kOmâs;;;;kOmâse;;;;kOmâs;;kOmâs
164;commettre;;;;;;;;;;;;;;;;;;;;;;;kOmE;;;;;;;;;;;;;;;;;;;;;;;
165;comparer;;;;;;;;;;;;;;;;;kôpare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;complimenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôplimât;;;;;;;;;;;;;;
167;comporter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôpOrt;;;;;;;;;;
168;comprendre;kôpri;kôpri;;kôpri;;;;;;;;kôpr6nE;;kôpr6nE;;;kôprâdr;;;;;kôpr6ne;kôprâ;;;;;;;;;kôprâ;kôpr6ne;kôprâ;;kôprâ;kôpriz;;;;;;;;;
169;compter;;;;;;;;;;;;;;;;;;;;;;kôte;kôt;;;;;;;;;kôt;kôte;;kôt;kôt;;;;;;;;kôt;;
170;concerner;;;;;;;;;;;;;;;;kôsErnE;;;;;;;kôsErn;;;;;;;;;kôsErn;;;;kôsErn;;;;;;;;;;
171;concevoir;;;;;;;;;;;;kôs6vE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;conclure;;;;kôkly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôkly;;;;;;;
173;condamner;;;;kôdana;;;;;;;;;;;;kôdanE;;;;;;;;;;;;;;;;;;;;;kôdane;;;;;;;;;
174;conduire;;;;;;;;;;;;;;;;kôdHizE;;;;;;;;;;;;;;;;kôdHi;;;kôdHiz;kôdHi;;;;kôdHi;;;;;;
175;confesser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôfEs;;;;;;;;;;
176;confirmer;;;;;;;;;;;;;;;;;kôfirme;;;;;;kôfirm;;;;;;;;;;;;;kôfirm;;;;;;;;;;
177;confondre;;;;;;;;;;;;;;kôfôdE;kôfôdE;kôfôdE;;;;;;;;;;;;;;kôfôdrE;;;;;;;;;;;;kôfôd;;;;
178;congédier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôZEdje;;;;;;;;;
179;connaître;;;;;;;;;;;;;kOnEsje;kOnEsE;;kOnEsE;kOnEtr;;;;kOnEsô;kOnEse;kOnE;;;;;;;;;kOnE;kOnEse;kOnE;kOnEs;kOnE;;;;kOny;;;kOnEsje;;;
180;consacrer;;;;;;;;;;;;;;;;kôsakrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;consentir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôsâ;;;;;;;;;;
182;considérer;;;;;;;;;;;;;;;;;kôsidEre;;;;;kôsidEre;kôsidEr;;;;;;;;;;;;;kôsidEr;kôsidEre;;;kôsidEre;;;;;;
183;consister;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôsist
184;consoler;;;;;;;;;;;;;;;;;;;;;;;kôsOl;;;;;;;kôsOl6rE;;;;;;;;;;;;;;;;
185;consommer;;;;;;;;;;;;;;;;;kôsOme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;constater;;;;;;;;;;;;;;;;;;;;;;;kôstat;kôstatâ;;;;;;;;kôstat;;;;;;;;;;;;;;
187;constituer;;;;;;;;;;;;;;;kôstityE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;construire;;;;;;;;;;;;;;;;;kôstrHir;;;;;;;;;;;;;;;;;;kôstrHiz;kôstrHi;;;;kôstrHi;;;;;;
189;consulter;;;;;;;;;;;;;;;;;;;;;;kôsylte;;;;;;;;;;;;;;;;;;kôsylte;;;;;;
190;contempler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtâpl;;;;;;;;;;
