lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S
abolir						10.7364074329				0.0688231245699		2.40880935994	0.481761871989	0.481761871989			2.82174810736	5.09291121817	27.8733654508							0.13764624914			5.43702684102						0.481761871989	0.13764624914	3.78527185134			0.963523743978	10.7364074329	3.09704060564	4.12938747419	3.78527185134	17.3434273916						
abonder		1.06060606061				4.09090909091								2.27272727273			23.3333333333	7.42424242424	9.69696969697					1.06060606061					1.36363636364								16.5151515152			16.6666666667	16.5151515152										
abonner		1.82767624021																	10.7049608355						1.82767624021		2.61096605744	6.5274151436	0.261096605744								6.5274151436	2.61096605744			6.5274151436	0.261096605744	21.6710182768	7.83289817232	30.8093994778						
abonnir																																																			
aborder	0.483005366726	1.09123434705			1.2343470483	7.42397137746	0.286225402504	0.393559928444			0.322003577818	0.966010733453	0.679785330948	0.966010733453	0.161001788909		2.34347048301	5.31305903399	33.2021466905							2.02146690519	1.34168157424	7.37030411449	2.5939177102	0.250447227191	0.161001788909	0.0178890876565		0.125223613596	0.286225402504	2.02146690519	7.37030411449	1.34168157424	0.769230769231	1.12701252236	7.37030411449	0.447227191413	1.57423971377	1.19856887299	7.74597495528						
aborner																																																			
aboucher														8.43373493976			8.43373493976	8.43373493976	40.9638554217										8.43373493976														8.43373493976	8.43373493976	8.43373493976						
abouler																			5.96658711217								9.30787589499	42.2434367542											0.238663484487		42.2434367542										
abouter																		50.0								50.0																									
aboutir	0.425402613187				2.06624126405	15.0410209663	0.030385900942	0.212701306594		0.212701306594	0.941962929201	2.096627165	0.212701306594		0.212701306594		3.91978122151	7.68763293832	33.8498936493										3.46399270738		0.425402613187			0.455788514129	2.00546946217		1.24582193862	0.273473108478	1.24582193862	5.95563658462	15.0410209663						1.48890914616				1.48890914616
aboyer					0.954400848356	5.01944149876					0.28278543655	0.742311770944					2.58041710852	6.64545775893	19.1940615058									17.4266525274	5.16083421704						0.28278543655	0.600919052669	17.4266525274		1.48462354189	4.77200424178	17.4266525274										
abraser																																													100.0						
abreuver						2.7027027027						1.1011011011					2.7027027027	5.00500500501	25.7257257257							0.800800800801	0.3003003003	13.1131131131	3.5035035035					0.700700700701			13.1131131131	0.3003003003		3.8038038038	13.1131131131		3.7037037037	3.1031031031	7.20720720721						
abricoter																											100.0																								
abriter	0.0220264317181	0.154185022026			0.154185022026	1.54185022026	0.0660792951542				0.176211453744	0.374449339207	0.330396475771	0.330396475771	0.0220264317181		3.59030837004	10.4845814978	20.550660793							0.881057268722	2.81938325991	10.550660793	4.55947136564						0.528634361233	0.881057268722	10.550660793	2.81938325991	0.462555066079	3.23788546256	10.550660793	1.71806167401	2.59911894273	2.42290748899	7.62114537445						
abroger																			14.953271028																					21.4953271028		13.0841121495	26.1682242991	14.0186915888	10.2803738318						
abrutir						4.21644413212						0.49191848208	0.49191848208	0.49191848208			1.40548137737	2.88123682361	7.44905130007									11.8060435699	1.89739985945								11.8060435699		11.8060435699	1.1243851019	4.21644413212	0.632466619817	2.81096275474	11.8060435699	24.6661981729						
abréger		0.494699646643				1.13074204947		0.0706713780919				0.0706713780919					0.494699646643	1.41342756184	24.2402826855						0.494699646643	1.34275618375	5.65371024735	17.8798586572	0.494699646643						0.494699646643		17.8798586572			3.95759717314	17.8798586572		1.7667844523		4.24028268551						
absenter		0.37493304767			0.37493304767	1.8211033744		0.535618639529				0.910551687199		0.964113551152		0.964113551152	0.74986609534	6.96304231387	23.5136582753										0.37493304767						0.37493304767		16.8719871452		0.37493304767		16.8719871452		3.32083556508	1.17836100696	6.5881092662						16.8719871452
absorber		0.154252974879			0.925517849273	4.69369766417		0.0440722785368				0.661084178052	0.154252974879	0.594975760247			1.58660202732	7.29396209784	14.0810929925								0.13221683561	10.9960334949	2.22565006611					0.396650506831	0.396650506831	0.154252974879	10.9960334949	0.13221683561		2.07139709123	10.9960334949	1.05773468488	5.9277214632	4.07668576465	20.2512119877						
absoudre								0.116279069767									0.813953488372	3.13953488372	30.5813953488									25.8139534884				0.93023255814			3.25581395349		25.8139534884			2.32558139535	3.60465116279	0.813953488372	0.813953488372						0.116279069767		1.86046511628
