;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
15;abriter;;;;;;abrita;;;;;;abrit6ra;abritjô;;;;abritE;abritE;abrite;;;;;;;;abrite;abrit;abritâ;;;;;;;abritô;abrit;abrite;abrit;abrit;abrit;;;;;;;
16;abroger;;;;;;;;;;;;;;;;;;;abrOZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;abrutir;;;;;;abryti;;;;;;;;;;;abrytisE;abrytisE;abrytir;;;;;;;;;abryti;;;;;;;;;abryti;;abryti;;;;;;;;;
18;abréger;;;;;;;;;;;;;;;;;;;abrEZe;;;;;;;abrEZô;abrEZe;abrEZ;abrEZâ;;;;;;;;abrEZ;;;abrEZ;abrEZ;;;;;;;
19;absenter;;;;;;absâta;;;;;;;;;;;;absâtE;absâte;;;;;;;;;;;;;;;;;;absât;;;;absât;;;;;;;absât
20;absorber;;;;;absOrbEr;absOrba;;;;;;;;;;;absOrbE;absOrbE;absOrbe;;;;;;;;;absOrb;;;;;;;;;absOrb;;;;absOrb;;;;;;;
21;absoudre;;;;;;;;;;;;;;;;;absOlvE;;absudr;;;;;;;;;absu;;;;;;;;;absu;;;absOlv;;;;;;;;
22;abstenir;;;;;;abstê;;;;;;;;abst6nE;;;;abst6nE;abst6nir;;;;;;abstê;;abst6ne;abstjê;abst6nâ;;;;;;;abst6nô;abstjê;abst6ne;;;abstjê;;;;;;;
23;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;;;;;abstrE;;;;;;;
24;abuser;;;;;;abyza;;;;;;;;;;;;abyzE;abyze;;;;;;;;abyze;abyz;;;;;abyz6rE;;;abyzô;abyz;abyze;;abyz;abyz;;;;;;;
25;abâtardir;;;;;;;;;;;;;;;;;;;abatardir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;abêtir;;;;;;;;;;;;;;;;;;;abEtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;abîmer;;;;;;abima;;;;;;;abimjô;;;;abimE;abimE;abime;;;;;;;;;abim;abimâ;;;;;;;;abim;abime;abim;abim;abim;;;;;;;
28;accabler;;;;;;akabla;;;;;;;;;;;akablE;akablE;akable;;;;;;;;;akabl;;;;;;;;;akabl;;;akabl;akabl;;;;;;;
29;accaparer;;;;;;;;;;;;;;;;;;akaparE;akapare;;;;;;;;;akapar;akaparâ;;;;;;;;akapar;;;;;;;;;;;
30;accentuer;;;;;;aksâtya;;;;;;;;;;;aksâtyE;aksâtyE;aksâtye;;;;;;;;aksâtye;aksâty;aksâtyâ;;;;;;;;aksâty;;;aksâty;aksâty;;;;;;;
31;accepter;aksEptam;aksEptE;;;aksEptEr;aksEpta;;aksEpt6rE;aksEpt6re;;;aksEpt6ra;aksEptjô;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;;;;;;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rE;aksEpt6rje;aksEpt6rE;aksEpt6rE;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;;;aksEpt;;;;aksEpt
32;accidenter;;;;;;;;;;;;;;;;;;;aksidâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;acclamer;;;;;;aklama;;;;;;;;;;;;;aklame;;;;;;;;;;aklamâ;;;;;;;;aklam;;;;aklam;;;;;;;
34;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;accoler;;;;;;;;;;;;;;;;;;;akOle;;;;;;;;;;akOlâ;;;;;;;;;;;;;;;;;;;
36;accommoder;;;;;;;;;akOmOd6re;;;;;akOmOdE;;;akOmOdE;akOmOdE;akOmOde;;;;;;;;;akOmOd;;;akOmOd6rE;;;;akOmOd6rE;;akOmOd;;;akOmOd;akOmOd;;;;;;;
37;accompagner;;akôpaJE;;;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rE;;akôpaJ6ra;;akôpaJ6ra;;akôpaJE;;akôpaJE;akôpaJE;akôpaJE;akôpaJe;;;;;;;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rE;;akôpaJ6rE;akôpaJ6rE;akôpaJ6rE;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;;;akôpaJ;;akôpaJ;;
38;accomplir;;;;;;akôpli;;;;;;;akôplisjô;akôplisE;;;akôplisE;akôplisE;akôplir;;;;;;;;akôplise;akôpli;akôplisâ;;;;;;akôplirE;akôplisô;akôpli;;akôpli;akôplis;akôpli;;;akôplis;;;;akôplis
39;accorder;;akOrdE;;;akOrdEr;akOrda;;akOrd6rE;akOrd6re;akOrd6ra;;akOrd6ra;;akOrdE;;akOrdE;;akOrdE;akOrde;;;;;akOrdas;;akOrdô;akOrde;akOrd;akOrdâ;;akOrd6rE;;;;akOrd6rE;;akOrd;akOrde;akOrd;akOrd;akOrd;;;akOrd;akOrdje;;;akOrd
40;accoster;;;;;;akOsta;;;;;;;;;;;;;akOste;;;;;;;;akOste;akOst;;;;;;;;;;;;akOst;akOst;;;;;;;
41;accoter;;;;;;akOta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;accoucher;;;;;;;;;;;;;;;;;;;akuSe;;;;;;;;akuSe;akuS;akuSâ;;;;;;akuS6rE;;akuS;akuSe;akuS;akuS;akuS;;;;;;;
43;accouder;;;;;;akuda;;;;;;;;akudE;;;;akudE;akude;;;;;;;;;;akudâ;;;;;;;;;;;;akud;;;;;;;
44;accoupler;;;;;;;;;;;;;;;;;;;akuple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;accourcir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akursisâ;;;;;;;;;;;;;;;;;;;
46;accourir;;akury;;;akuryr;akury;;;;;;;;;;;akurE;akurE;akurir;;;;;;;;akure;akur;;;;;;akurrE;akurrE;akurô;akur;;akur;akur;akur;;;;;;;akur
47;accoutumer;;akutymE;;;;akutyma;;;;;;;;;;;;;akutyme;;;;;;;;;;akutymâ;;;;;;;;akutym;;;;;;;;;;;
48;accrocher;;;;;akrOSEr;akrOSa;;akrOS6rE;akrOS6re;;;;akrOSjô;akrOSE;;akrOSE;akrOSE;akrOSE;akrOSe;;;;;;;;akrOSe;akrOS;akrOSâ;;akrOS6rE;;;;akrOS6rE;;akrOS;akrOSe;akrOS;akrOS;akrOS;;;;;akrOS;;
49;accroupir;;;;;;akrupi;;;;;;;;;;;;akrupisE;akrupir;;;;;;;;;akrupi;;;;;;;;akrupisô;akrupi;;akrupi;akrupis;akrupi;;;;;;;
50;accroître;;;;;akryr;akry;;;;;;akrwatra;;;;;;;akrwatr;;;;;;akry;;;;akrwasâ;;;;;;;;;;;;akrwa;;;;;;;
51;accueillir;;ak6ji;;;ak6jir;ak6ji;;ak6j6rE;;;ak6j6rô;ak6j6ra;;ak6jE;;;ak6jE;ak6jE;ak6jir;;;;;;;ak6jô;ak6je;ak9j;ak6jâ;;;;;;ak6j6rE;ak6jô;ak9j;ak6je;;ak9j;ak9j;;;;;;;
52;acculer;;;;;;;;;;;;;;;;;akylE;akylE;akyle;;;;;;;;;;;;;;;;;;;;;akyl;;;;;;;;
53;accumuler;;;;;akymylEr;;;;;;;;;akymylE;;;akymylE;akymylE;akymyle;;;;;;;;;akymyl;akymylâ;;;;;;;;akymyl;;;akymyl;akymyl;;;;;;;
54;accuser;;akyzE;;;akyzEr;akyza;;;;;;akyz6ra;;;;akyzE;akyzE;akyzE;akyze;;;;;;akyza;;akyze;akyz;akyzâ;;akyz6rE;akyz6rje;;;akyz6rE;akyzô;akyz;akyze;akyz;akyz;akyz;;;;;;;akyz
55;accéder;;;;;;;;;;;;;;;;;aksEdE;aksEdE;aksEde;;;;;;;;;aksEd;;;;;;aksEd6rE;;;aksEd;;;;aksEd;;;;;;;aksEd
56;accélérer;;aksElErE;;;;aksElEra;;;;;;;;aksElErE;;;;aksElErE;aksElEre;;;;;;;aksElErô;aksElEre;aksElEr;;;;;;;;;aksElEr;aksElEre;;aksElEr;aksElEr;;;;;;;
57;acharner;;;;;;aSarna;;;;;;;;aSarnE;;;aSarnE;aSarnE;aSarne;;;;;;;;;aSarn;aSarnâ;;;;;;;;aSarn;;aSarn;aSarn;aSarn;;;;;;;
58;acheminer;;;;;;;;;;;;;;;;;;aS6minE;aS6mine;;;;;;;;;aS6min;aS6minâ;;;;;;;;;;;aS6min;aS6min;;;;;;;
59;acheter;;aS6tE;;;aS6tEr;aS6ta;;aSEt6rE;aSEt6re;aSEt6ra;;aSEt6ra;aS6tjô;aS6tE;aS6tje;aS6tE;aS6tE;aS6tE;aS6te;;;;;;aS6ta;aS6tô;aS6te;aSEt;aS6tâ;aSEt6rjô;aSEt6rE;aSEt6rje;aSEt6rE;;aSEt6rE;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;;;;;aSEt;;
60;achever;;;;;aS6vEr;aS6va;;;;;aSEv6rô;;;aS6vE;;;aS6vE;aS6vE;aS6ve;;;;;;;;aS6ve;aSEv;aS6vâ;;;;;;aSEv6rE;;aSEv;aS6ve;aSEv;aSEv;aSEv;;;;;;;
61;acquiescer;;;;;;akjEsa;;;;;;;;;;;;akjEsE;akjEse;;;;;;;;;akjEs;;;;;;;;;akjEs;;;;akjEs;;;;;;;
62;acquitter;;;;;;akita;;;;;;;akitjô;akitE;;;;;akite;;;;;;;;akite;akit;akitâ;;;;;;;;akit;;;;akit;;;akit;;;;
63;acquérir;;aki;;;;aki;;;;;;;;;;;;;akErir;;;;;;;;;;;;;;;;;;;;;;akjEr;;;akjEr;;;;
64;actionner;;aksjOnE;;;;aksjOna;;;;;;;;;;;aksjOnE;;aksjOne;;;;;;;;;aksjOn;aksjOnâ;;;;;;;;aksjOn;;;;aksjOn;;;;;;;
65;activer;;;;;;;;;;;;;;;;;aktivE;aktivE;aktive;;;;;;;aktivô;aktive;aktiv;aktivâ;;;;;;;;aktiv;aktive;;aktiv;aktiv;;;;;;;aktiv
66;adapter;;adaptE;;;;adapta;;;;;;;;;;;;;adapte;;;;;;;;adapte;adapt;;;;;;;adapt6rE;;adapt;;;;adapt;;;;;;;
67;additionner;;;;;;;;;;;;;;;;;;adisjOnE;;;;;;;;;;adisjOn;;;;;;;;;adisjOn;;;;adisjOn;;;;;;;
68;adhérer;;;;;;;;;;;;;;;;;adErE;adErE;adEre;;;;;;;;adEre;adEr;;;;;;;;;adEr;;;adEr;;;;;;;;
69;adjoindre;;;;;;;;;;;;;;;;;;adZwaJE;;;;;;;;;;;;;;;;;;;adZwê;;;;adZwê;;;adZwaJ;;;;
70;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZ;adZyZâ;;;;;;;;;;;;adZyZ;;;;;;;
71;adjurer;;;;;;;;;;;;;;adZyrE;;;;adZyrE;adZyre;;;;;;;;;;adZyrâ;;;;;;;;adZyr;;;;;;;;;;;
72;admettre;;admi;;;;admi;;admEtrE;admEtre;admEtra;admEtrô;admEtra;;;;admEtE;admEtE;admEtE;admEtr;;;;;;;admEtô;admEte;admE;admEtâ;;;;;;admEtrE;admEtô;admE;admEte;admE;;admE;;;admEt;;;;admEt
73;administrer;;administrE;;;;administra;;;;;;;;administrE;;;;administrE;administre;;;;;;;;;administr;;;;;;;;;administr;;administr;administr;administr;;;;;;;
74;admirer;admiram;;;;admirEr;admira;;;;;admir6rô;;admirjô;admirE;;admirE;admirE;admirE;admire;;;;;;;admirô;admire;admir;admirâ;;;;admir6rE;;;admirô;admir;admire;admir;admir;admir;;;;;;;
75;admonester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;admOnEst;;;;;;;
76;adoniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adOnizâ;;;;;;;;;;;;;;;;;;;
77;adonner;;adOnE;;;;adOna;;;;;;;adOnjô;;;;adOnE;adOnE;adOne;;;;;;;;;;;;;;;;;;;;;;adOn;;;;;;;
78;adopter;;;;;;adOpta;;;;;;;;;;;;adOptE;adOpte;;;;;;;;adOpte;adOpt;;;;;;;;adOptô;adOpt;;;adOpt;adOpt;;;;;;;
79;adorer;;adOrE;;;;;;;adOr6re;adOr6ra;;adOr6ra;;adOrE;;adOrE;adOrE;adOrE;adOre;;;;;;;adOrô;adOre;adOr;;;adOr6rE;;adOr6rE;;adOr6rE;adOrô;adOr;adOre;adOr;adOr;adOr;;;;;;adOr;adOr
80;adosser;;adOsE;;;;adOsa;;;;;;;;;;;;adOsE;adOse;;;;;;;;;ados;;;;;;;;;ados;;;ados;ados;;;;;;;
81;adoucir;;;;;adusir;adusi;;;;;;;;;;;;adusisE;adusir;;;;;;adusi;;;;;;;;;;;;;;adusi;adusis;adusi;;;adusis;;;;
82;adresser;adrEsam;adrEsE;;;adrEsEr;adrEsa;;;;;adrEs6rô;adrEs6ra;;adrEsE;;adrEsE;adrEsE;adrEsE;adrEse;;;;;;adrEsa;adrEsô;adrEse;adrEs;adrEsâ;;adrEs6rE;;;;;adrEsô;adrEs;adrEse;adrEs;adrEs;adrEs;;;adrEs;;;;adrEs
83;aduler;;;;;;;;;;;;;;adylE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;adultérer;;;;;;;;;;;;;;;;;adyltErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;advenir;;;;;;advê;;;;;;advjêdra;;;;;;adv6nE;adv6nir;;;;;;;;;;;;;;;;advjêdrE;;;;;;advjê;;;;;;;advjEn
86;affadir;;;;;;;;;;;;;;;;;;afadisE;afadir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;affaiblir;;;;;;afEbli;;;;;;afEblira;;;;;afEblisE;afEblisE;afEblir;;;;;;;;;afEbli;afEblisâ;;;;;;;;afEbli;;afEbli;afEblis;afEbli;;;;;;;
88;affairer;;;;;afErEr;afEra;;;;;;;;;;;afErE;;afEre;;;;;;;;;afEr;;;;;;;;;afEr;;;;afEr;;;;;;;
89;affaisser;;;;;afEsEr;afEsa;;;;;;;;;;;afEsE;afEsE;afEse;;;;;;;;;afEs;;;;;;;;;;;;afEs;afEs;;;;;;;
90;affaler;;;;;;afala;;;;;;;;afalE;;;afalE;afalE;afale;;;;;;;;;afal;afalâ;;;;;;;;afal;;;afal;;;;;;;;
91;affamer;;;;;;;;;;;;;;;;;;;afame;;;;;;;;;afam;;;;;;;;;;;;;;;;;;;;
92;affecter;;;;;;afEkta;;;;;;afEkt6ra;;;;;afEktE;afEktE;afEkte;;;;;;afEkta;afEktô;;afEkt;afEktâ;;;;;;;afEktô;afEkt;;;;afEkt;;;;;;;
93;affectionner;;;;;;;;;;;;;;afEksjOnE;;;;afEksjOnE;;;;;;;;;afEksjOne;;afEksjOnâ;;;;;;;;;afEksjOne;;afEksjOn;;;;;;;;
94;affermir;;;;;;afErmi;;;;;;;;;;;;afErmisE;afErmir;;;;;;;;;;;;;;;;;;;;;;afErmi;;;;;;;
95;afficher;;;;;afiSEr;;;;;;;;afiSjô;afiSE;;;afiSE;afiSE;afiSe;;;;;;;;afiSe;afiS;afiSâ;;;;;;afiS6rE;afiSô;afiS;afiSe;;afiS;afiS;;;;;;;
96;affiner;;;;;;;;;;;;;;;;;afinE;afinE;afine;;;;;;;;;;afinâ;;;;;;;;afin;;;afin;afin;;;;;;;
97;affirmer;;afirmE;;;;afirma;;;;;;;;;;afirmE;afirmE;afirmE;afirme;;;;;;;;afirme;afirm;afirmâ;;;;;;;afirmô;afirm;afirme;afirm;afirm;afirm;;;;;;;afirm
98;affleurer;;;;;;afl6ra;;;;;;;;;;;afl6rE;afl6rE;afl6re;;;;;;afl6ra;;;afl9r;;;;;;;;;;;;afl9r;afl9r;;;;;;;
99;affliger;;;;;afliZEr;afliZa;;;;;;;;;;;;;afliZe;;;;;;;;;afliZ;afliZâ;;;;;;;;afliZ;;;;afliZ;;;;;;;
100;affluer;;;;;;;;;;;;;;;;;aflyE;aflyE;aflye;;;;;;;;;;;;;;;;;;;;;afly;afly;;;;;;;
101;affoler;;;;;;afOla;;;;;;;;;;;afOlE;afOlE;afOle;;;;;;;;afOle;afOl;;;;;;;;;afOl;afOle;;;afOl;;;;;;;
102;affranchir;;;;;;afrâSi;;;;;;;;;;;;afrâSisE;afrâSir;;;;;;;;;afrâSi;;;;;;;;;afrâSi;;;;afrâSi;;;;;;;
103;affronter;;;;;;;;;;afrôt6ra;;afrôt6ra;afrôtjô;;afrôtje;;afrôtE;afrôtE;afrôte;;;;;;;afrôtô;afrôte;afrôt;afrôtâ;;;;;;afrôt6rE;afrôtô;afrôt;afrôte;;afrôt;afrôt;;;;;;;afrôt
104;affréter;;;;;;;;;;;;;;;;;;;afrEte;;;;;;;;;;;;;;;;;;;afrEte;;;;;;;;;;
105;affubler;;;;;;;;;;;;;;;;;;;afyble;;;;;;;;;;afyblâ;;afybl6rE;;;;afybl6rE;;afybl;;;;;;;;;;;
106;agacer;;;;;;agasa;;;;;;;;agasE;;;agasE;agasE;agase;;;;;;;;agase;agas;agasâ;;;;;;;;agas;agase;;agas;agas;;;;;;;
107;agencer;;;;;;;;;;;;;;;;;;;aZâse;;;;;;;;;;;;;;;;;;;;;;aZâs;;;;;;;
108;agenouiller;;aZ6nujE;;;aZ6nujEr;aZ6nuja;;;;;;;;;;;;;aZ6nuje;;;;;;;aZ6nujô;;aZ6nuj;aZ6nujâ;;;;;;;;aZ6nuj;;;aZ6nuj;aZ6nuj;;;;;;;
109;agglomérer;;;;;;;;;;;aglOmEr6rô;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aglOmEr;;;;;;;;
110;agglutiner;;;;;;;;;;;;;;;;;aglytinE;;;;;;;;;;;;;;;;;;;;;;;aglytin;aglytin;;;;;;;
111;aggraver;;;;;agravEr;;;;;;;agrav6ra;;;;;;agravE;agrave;;;;;;;;;agrav;;;;;;;;;agrav;agrave;;;agrav;;;;;;;
112;agir;;;;;;aZi;;;;;aZirô;aZira;;aZisE;;aZisE;;aZisE;aZir;;;;;;aZi;aZisô;aZise;aZi;aZisâ;;;aZirje;;;aZirE;aZisô;aZi;aZise;aZi;aZis;aZi;;;aZis;;aZis;;aZis
113;agiter;;;;;aZitEr;aZita;;;;;aZit6rô;;;aZitE;;aZitE;aZitE;aZitE;aZite;;;;;;;;;aZit;aZitâ;;;;;;;;aZit;aZite;aZit;aZit;aZit;;;;;;;
114;agonir;;;;;agOnir;agOni;;;;;;;;;;;;;agOnir;;;;;;;;;;;;;;;;;;;;;;agOni;;;;;;;
115;agoniser;;;;;;;;;;;;;;;agOnizje;;;agOnizE;agOnize;;;;;;;;;agOniz;agOnizâ;;;;;;;;agOniz;;;;agOniz;;;;;;;
116;agrafer;;;;;;agrafa;;;;;;;;;;;;;agrafe;;;;;;;;;agraf;;;;;;;;;agraf;;;;agraf;;;;;;;
117;agrandir;;;;;agrâdir;;;;;;;;;;;;;agrâdisE;agrâdir;;;;;;;;agrâdise;agrâdi;;;;;;;;;agrâdi;agrâdise;agrâdi;;agrâdi;;;;;;;
118;agresser;;;;;;;;;;;;;;agrEsE;;;;;agrEse;;;;;;;;;agrEs;;;;;;;;;agrEs;;;;agrEs;;;;;;;
119;agripper;;agripE;;;agripEr;agripa;;;;;;;;;;;agripE;agripE;agripe;;;;;;;;;agrip;agripâ;;;;;;;;agrip;;;agrip;agrip;;;;;;;
120;agréer;;;;;;;;;;;;agrEra;agrEjô;;;;agrEE;;agrEe;;;;;;;;;;;;;;;;;;agre;;;;agre;;;;;;;
121;agrémenter;;;;;;;;;;;;;;;;;agrEmâtE;;agrEmâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;aguerrir;;;;;;;;;;;;;;;;;;;agErir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;aguicher;;;;;;;;;;;;;;;;;;;agiSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;ahaner;;;;;;;;;;;;;;;;;;;aane;;;;;;;;;;;;;;;;;;;;;aan;aan;;;;;;;
125;ahurir;;;;;;ayri;;;;;;;;;;;;;;;;;;;;;;;ayrisâ;;;;;;;;;;;;ayri;;;;;;;
126;aider;;EdE;;;EdEr;Eda;Ed6rô;Ed6rE;Ed6re;Ed6ra;Ed6rô;Ed6ra;;EdE;Edje;EdE;EdE;EdE;Ede;;;;;Edas;Eda;Edô;Ede;Ed;Edâ;;Ed6rE;Ed6rje;Ed6rE;Ed6rE;Ed6rE;Edô;Ed;Ede;Ed;Ed;Ed;;;Ed;Edje;Ed;Ed;Ed
127;aigrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egri;;;;;;;
128;aiguiller;;;;;;;;;;;;;;;;;;;EgHije;;;;;;;;;;;;;;;;;;EgHij;;EgHij;;EgHij;;;;;EgHij;;
129;aiguiser;;;;;EgizEr;;;;;;;;;;;;EgizE;EgizE;;;;;;;;;Egize;Egiz;;;;;;;;;Egiz;;;Egiz;Egiz;;;;;;;
130;aimanter;;;;;;;;;;;;;;;;;;EmâtE;Emâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;aimer;;;;;EmEr;Ema;Em6rô;Em6rE;Em6re;Em6ra;Em6rô;Em6ra;Emjô;EmE;Emje;EmE;EmE;EmE;Eme;;;;;Emas;Ema;Emô;Eme;Em;Emâ;Em6rjô;Em6rE;Em6rje;Em6rE;Em6rE;Em6rE;Emô;Em;Eme;Em;Em;Em;;Emjô;Em;Emje;Em;Em;Em
132;ajourer;;;;;;;;;;;;;;;;;;aZurE;;;;;;;;;;;aZurâ;;;;;;;;;;;;;;;;;;;
133;ajourner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZurn;;;;;;;;;;;
134;ajouter;;aZutE;;;;aZuta;;aZut6rE;aZut6re;;aZut6rô;aZut6ra;;aZutE;;aZutE;aZutE;aZutE;aZute;;;;;;;;aZute;aZut;aZutâ;;;;aZut6rE;;;aZutô;aZut;aZute;aZut;aZut;aZut;;;;;;;aZut
135;ajuster;;;;;;aZysta;;;;;;;;;;;aZystE;aZystE;aZyste;;;;;;;;aZyste;aZyst;aZystâ;;;;;;;;aZyst;;;aZyst;aZyst;;;;;;;
136;alanguir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alâgi;;;;;;;;;
137;alarmer;;;;;;alarma;;;;;;;;;;;;alarmE;alarme;;;;;;;;alarme;;alarmâ;;;;;;;;;;;;;;;;;;;
138;alentir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alâti;;;;;;;;;;;
139;alerter;;;;;;;;;;;;;;;;;;alErtE;alErte;;;;;;alErta;;alErte;alErt;;;;;;;alErt6rE;;alErt;alErte;alErt;;alErt;;;;;;;alErt
140;aligner;;;;;;;;;;;;;;;;aliJE;aliJE;aliJE;aliJe;;;;;;;;aliJe;aliJ;aliJâ;;;;;;;;aliJ;aliJe;aliJ;aliJ;aliJ;;;;;;;
141;alimenter;;;;;;;;;;;;;;;;;alimâtE;alimâtE;alimâte;;;;;;;;;alimât;alimâtâ;;;;;;;;;alimâte;;alimât;alimât;;;;;;;
142;aliter;;;;;;alita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;aliéner;;;;;;;;;;;;;;;;;;;aljEne;;;;;;;;;;;;;;;;;;;;;;aljEn;;;;;;;
144;allaiter;;;;;;;;;;;;;;;;;;;alEte;;;;;;;;;;alEtâ;;;;;;;;;;;;alEt;;;;;;;
145;aller;alam;alE;;;alEr;ala;irô;irE;ire;ira;irô;ira;aljô;alE;alje;alE;alE;alE;ale;;;;;alas;ala;alô;ale;va;alâ;irjô;irE;irje;irE;irE;irE;alô;vE;ale;va;vô;va;;;aj;;aj;aj;aj
146;allier;;;;;;;;;;;;;;;;;;;alje;;;;;;;;;;aljâ;;;;;;;;ali;;;;ali;;;;;;;
