;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
10;abouler;;;;;;;;;;;;;;;;;;;;;;;;;;;abul;;;;;;;;;;;;;abul;;;;;;;;;;
11;aboutir;;;;;abutir;abuti;;;;;;;;;;;abutisE;abutisE;abutir;;;;;;;;;;;;;;abutirE;;;abuti;;;abutis;abuti;;;;;;abutis;;;;abutis
12;aboyer;;;;;;;;;;;;abwara;;;;;;abwajE;abwaje;;;;;;;;abwa;abwajâ;;;;;;;;abwa;;;abwa;abwa;;;;;;;;;;
13;abreuver;;;;;;;;;;;;;;;;;;;abr6ve;;;;;;;;abr9v;;;;;;;;;abr9v;;;;abr9v;;;;;;;;;;
14;abriter;;;;;;abrita;;;;;abrit6rô;abrit6ra;;;;;abritE;abritE;abrite;;;;;;;abrite;abrit;;;;;;;;abritô;abrit;abrite;abrit;abrit;abrit;;;;abrite;;;;;;
15;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abrOZ;;;;;;;;;;;
16;abrutir;;;;;;abryti;;;;;;;;abrytisE;;;;;abrytir;;;;;;;;;abrytisâ;;;;;;;;abryti;;;;;;;abryti;abryti;;;;;;
17;abréger;;;;;;;;;;;;;;;;;;;abrEZe;;;;;;;;abrEZ;;;;;;;;;abrEZ;;;;abrEZ;;;;abrEZe;;;;;;
18;absenter;;;;;;;;;;;;;;;;;;absâtE;absâte;;;;;;;;;;;;;;;;;absât;;;;absât;;absâte;absâte;;;;;;;absât
19;absorber;;;;;;absOrba;;;;;;;;absOrbE;;;absOrbE;absOrbE;absOrbe;;;;;;;;absOrb;absOrbâ;;;;;;;;absOrb;;;;absOrb;absOrbe;absOrbe;;absOrbe;;;;;;
20;absoudre;;;;;;;;;;;;;;;;;;absOlvE;absudr;;;;;;;;absu;;;;;;;;;absu;;;absOlv;;;;;;;;;;;
21;abstenir;;abstê;;;;abstê;;;;;;;;;;;;abst6nE;abst6nir;;;;;abstê;abst6nô;abst6ne;abstjê;;;;;;;;;abstjê;;abstjê;;abstjê;;;;abst6ny;;;;;;
22;abstraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abstrE;;;;abstrE;;;abstrE;abstrE;;;;;;
23;abuser;;;;;;;;;;;;abyz6ra;;;;;abyzE;abyzE;abyze;;;;;;;abyze;abyz;abyzâ;;;;;;;;abyz;abyze;abyz;abyz;abyz;;;abyze;abyze;;;;;;
24;abêtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abEti;;;;;;
25;abîmer;;abimE;;;;abima;;;;;;abim6ra;;;;;;;abime;;;;;;;abime;abim;;;abim6rE;;;;;;abim;;abim;abim;abim;;abime;abime;abime;;;;;;
26;accabler;;;;;;;;;;;;;;akablE;;;;akablE;akable;;;;;;;;akabl;akablâ;;;;;akabl6rE;;;akabl;;;;akabl;akable;akable;akable;akable;;;;;;
27;accaparer;;;;;;akapara;;;;;;;;;;;;;;;;;;;;;akapar;;;;;;;;;akapar;;;;akapar;;akapare;;;;;;;;
28;accentuer;;;;;;aksâtya;;;;;;;;;;;;aksâtyE;aksâtye;;;;;;;aksâtye;;aksâtyâ;;;;;;;;;;;aksâty;aksâty;;aksâtye;aksâtye;;;;;;;
29;accepter;;aksEptE;;;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rE;;;aksEpt6rô;aksEpt6ra;;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;;;aksEptas;;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;;aksEpt6rje;aksEpt6rE;;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;aksEpte;aksEpte;;aksEpt;;;;aksEpt
30;acclamer;;;;;;;;;;;;;;;;;aklamE;aklamE;aklame;;;;;;;;aklam;aklamâ;;;;;;;;aklam;;;;;;aklame;aklame;aklame;;;;;;
31;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;;;;;;;;;;;aklimate;;;;;;
32;accoler;;;;;;;;;;;;;;;;;;;akOle;;;;;;;;;;;;;;;;;;;;;;;;akOle;;;;;;;
33;accommoder;;;;;;;;akOmOd6rE;;;;;;;;;akOmOdE;akOmOdE;akOmOde;;;;;akOmOda;;;akOmOd;;;;;;akOmOd6rE;;;akOmOd;;;;akOmOd;;;;;;;;;;
34;accompagner;;;;;;akôpaJa;;akôpaJ6rE;akôpaJ6re;;;akôpaJ6ra;;akôpaJE;;akôpaJE;akôpaJE;akôpaJE;akôpaJe;;;;;;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rE;;;;;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;akôpaJe;akôpaJe;akôpaJe;akôpaJe;;akôpaJ;;akôpaJ;;
35;accomplir;;;;;;akôpli;;akôplirE;;;;akôplira;;akôplisE;;;;akôplisE;akôplir;;;;;;akôplisô;akôplise;akôpli;akôplisâ;;;;;;;;akôpli;akôplise;akôpli;akôplis;akôpli;akôpli;akôpli;akôpli;akôpli;;akôplis;;;;akôplis
36;accorder;;akOrdE;;;;akOrda;akOrd6rô;;;;akOrd6rô;akOrd6ra;;akOrdE;;akOrdE;akOrdE;akOrdE;akOrde;;;;akOrdas;;akOrdô;akOrde;akOrd;akOrdâ;;;;;;;;akOrd;akOrde;;akOrd;akOrd;akOrde;akOrde;akOrde;akOrde;;akOrd;;;;akOrd
37;accoster;;;;;;;;;;;;;;;;;;akOstE;akOste;;;;;;;;;;;;;;;;;;;;;;;akOste;;akOste;;;;;;
38;accoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOtâ;;;;;;;akOtô;;;;;;;akOte;;;;;;;;
39;accoucher;;;;;;;;;;;;;;;;;;;akuSe;;;;;;;;akuS;;;;;;;akuS6rE;;akuS;akuSe;;;akuS;;akuSe;;akuSe;;;;;;
40;accouder;;;;;;akuda;;;;;;;;;;;;akudE;akude;;;;;;;;;;;;;;;;;;;;;akud;;;;akude;;;;;;
41;accoupler;;;;;;;;;;;;;;;;;;;akuple;;;;;;;;;;;;;;;;;akupl;;;;;;;akuple;;;;;;;
42;accourir;;;;;akuryr;;;;;;;;;;;;akurE;;akurir;;;;akurys;;;akure;;;;akurrE;;;;;;;;;;akur;;akury;akury;akury;;;;;;
43;accoutrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akutre;;;;;;;;
44;accoutumer;;;;;;;;;;;;;;;;;;akutymE;akutyme;;;;;;;;;akutymâ;;;;;;;;akutym;;;;;;akutyme;akutyme;akutyme;;;;;;
45;accrocher;;akrOSE;;;;akrOSa;;akrOS6rE;;;;;akrOSjô;;;akrOSE;akrOSE;akrOSE;akrOSe;;;;;akrOSa;;akrOSe;akrOS;akrOSâ;;;;;;akrOS6rE;;akrOS;akrOSe;akrOS;akrOS;akrOS;akrOSe;akrOSe;akrOSe;akrOSe;;;;akrOS;;
46;accroire;;;;;;;;;;;;;;;;;;;akrwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;accroupir;;;;;;akrupi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrupi;;akrupi;;akrupi;;akrupi;akrupi;akrupi;;;;;;
48;accroître;;;;;;;;;;;;;;;;;;akrwasE;akrwatr;;;;;;;;;;;;;;;;;;;;;akrwa;;;;akry;;;;;;
49;accréditer;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrEditâ;;;;;;;;;;;;;;akrEdite;;;;;;;;
50;accueillir;;ak6ji;;;;ak6ji;ak6j6rô;ak6j6rE;;;ak6j6rô;ak6j6ra;;;;;;ak6jE;ak6jir;;;;;;ak6jô;ak6je;ak9j;ak6jâ;;;;;;;ak6jô;ak9j;ak6je;ak9j;ak9j;ak9j;;ak6ji;ak6ji;ak6ji;;;;;;
51;acculer;;;;;akylEr;;;;;;;;;;;;akylE;;;;;;;;;;;;;;;;;;;;;;;akyl;;;;;;;;;;
52;accumuler;;;;;;;;;;;;;;;;;akymylE;;;;;;;;;akymyle;akymyl;akymylâ;;;;;;;;akymyl;;;akymyl;akymyl;akymyle;akymyle;akymyle;akymyle;;;;;;
53;accuser;;;;;akyzEr;akyza;;;;;;akyz6ra;;akyzE;;;akyzE;akyzE;akyze;;;;;;;akyze;akyz;akyzâ;;;;;;akyz6rE;akyzô;akyz;akyze;akyz;akyz;akyz;akyze;akyze;akyze;akyze;;;;;;akyz
54;accéder;;;;;;;;;;;;;;;;;;aksEdE;aksEde;;;;;;;;;;;;;;;aksEd6rE;;aksEd;;;;aksEd;;;;;;;;;;aksEd
55;accélérer;;;;;;aksElEra;;;;;;;;;;;;aksElErE;aksElEre;;;;;;;aksElEre;aksElEr;;;;;;;;;aksElEr;aksElEre;aksElEr;;aksElEr;aksElEre;aksElEre;;aksElEre;;;;aksElEr;;
56;acharner;;;;;aSarnEr;aSarna;;;;;;;;aSarnE;;;aSarnE;aSarnE;aSarne;;;;;;;;aSarn;;;;;;;;;aSarn;;aSarn;;aSarn;aSarne;aSarne;aSarne;aSarne;;;;;;
57;acheminer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aS6min;;;;;;;;;;;;;;
58;acheter;;;;;aS6tEr;aS6ta;aSEt6rô;aSEt6rE;aSEt6re;;;aSEt6ra;;aS6tE;;aS6tE;aS6tE;aS6tE;aS6te;;;;;;;aS6te;aSEt;aS6tâ;;;aSEt6rje;aSEt6rE;;aSEt6rE;;aSEt;aS6te;aSEt;aSEt;aSEt;aS6te;aS6te;aS6te;aS6te;;;;aSEt;;
59;achever;aS6vam;;;;aS6vEr;aS6va;;;;;;;;;;;aS6vE;aS6vE;aS6ve;;;;;;;aS6ve;aSEv;aS6vâ;;;;;;aSEv6rE;aS6vô;aSEv;;;aSEv;aSEv;;aS6ve;;aS6ve;;;;;;
60;achopper;;;;;;;;;;;;;;;;;;aSOpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;aciduler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asidyle;;;;;;;;;
62;acquiescer;;;;;;akjEsa;;;;;;;;;;;akjEsE;;akjEse;;;;;;;;akjEs;;;;;;;;;akjEs;;;akjEs;akjEs;;;;;;;;;;
63;acquitter;;;;;;;;;;;;akit6ra;;;;;;akitE;akite;;;;;;;;akit;;;;;;;;;akit;;;;akit;;;;akite;;akit;;;;
64;acquérir;;aki;;;;;;;;;;;;;;;akErE;;akErir;;;;;;;;;;;;;;;;;;;;akjEr;akjEr;akiz;akiz;;;;akjEr;;;;
65;actionner;;aksjOnE;;;;;;;;;;;;;;;aksjOnE;aksjOnE;;;;;;;;;;;;;;;;;;aksjOn;;;;aksjOn;;;;aksjOne;;;;;;
66;activer;;;;;;;;;;;;;;;;;aktivE;aktivE;aktive;;;;;;;aktive;aktiv;aktivâ;;;;;;;;;aktive;;aktiv;aktiv;;aktive;;aktive;;;;;;aktiv
67;acérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEre;;;;;;;;;
68;adapter;;;;;;adapta;;;;;;;;;;;;;adapte;;;;;;;;adapt;;;;;;;;;adapt;;;;adapt;adapte;adapte;;adapte;;;;;;
69;additionner;;;;;;;;;;;;;;;;;;;adisjOne;;;;;;;;adisjOn;;;;;;adisjOn6rE;;;;;;;adisjOn;adisjOne;;adisjOne;;;;;;;
70;adhérer;;;;;;;;;;;;;;;;;;adErE;adEre;;;;;;;;adEr;;;;;;;;;;;;;;;;;;;;;;;
71;adjoindre;;;;;;;;;;;;;;;;;;;adZwêdr;;;;;;;;;;;;;;;;;;;;;adZwê;;;adZwê;adZwê;;;;;;
72;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZe;;;;;;
73;adjurer;;;;;;;;;;;;;;;;;;;adZyre;;;;;;;;;;;;;;;;;adZyr;;;;adZyr;;;;;;;;;;
74;admettre;;admi;;;;admi;;admEtrE;;admEtra;;;;admEtE;admEtje;;;;admEtr;;;;;;admEtô;admEte;admE;admEtâ;;;;;admEtrE;admEtrE;admEtô;admE;;admE;;admE;admiz;admiz;;;;;;;;
75;administrer;;;;;;administra;;;;;;;;;;;;;administre;;;;;;;;administr;;;;;;;;;;;;;administr;;administre;;;;;;;;
76;admirer;;;;;;admira;;;;;;;;admirE;;admirE;admirE;admirE;admire;;;;;;;admire;admir;admirâ;;;;;;;admirô;admir;admire;;admir;admir;;admire;;admire;;;;;;
77;admonester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;admOnEst;;;;;;;;;;
78;adonner;;;;;;adOna;;;;;;;;;;;adOnE;;adOne;;;;;;;;;;;;;;;;;;;;;adOn;;;;adOne;;;;;;
79;adopter;;;;;adOptEr;adOpta;;;;;adOpt6rô;;;;;;;adOptE;adOpte;;;;;;adOptô;;adOpt;adOptâ;;;;;adOpt6rE;;adOptô;adOpt;adOpte;;;adOpt;;adOpte;;adOpte;;;;;;
80;adorer;;;;;;;;adOr6rE;adOr6re;;adOr6rô;adOr6ra;;adOrE;;adOrE;adOrE;adOrE;adOre;;;;;;adOrô;adOre;adOr;;;adOr6rE;;adOr6rE;adOr6rE;;adOrô;adOr;adOre;adOr;adOr;adOr;;adOre;;adOre;;;;;adOr;adOr
81;adosser;;;;;;adOsa;;;;;;;;;;;;;adOse;;;;;;;;;;;;;;;;;ados;;;;;;adOse;adOse;adOse;;;;;;
82;adouber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adube;;;;;;
83;adoucir;;;;;;adusi;;;;;;;;;;;;adusisE;adusir;;;;;;;;;;;;;;;;;;;;;adusi;adusi;adusi;;;;;;;;
84;adresser;;adrEsE;;;;adrEsa;;adrEs6rE;;;;adrEs6ra;adrEsjô;adrEsE;;;adrEsE;adrEsE;adrEse;;;;;;adrEsô;adrEse;adrEs;adrEsâ;;adrEs6rE;;;adrEs6rE;;;adrEs;adrEse;;adrEs;adrEs;adrEse;adrEse;adrEse;adrEse;;adrEs;;;;adrEs
85;advenir;;;;;;advê;;;;;;advjêdra;;;;;;;adv6nir;;;;;advê;;;;;;;;;;advjêdrE;;;;;;advjê;;;;;;;;;;advjEn
86;affabuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afabyl;;afabyl;;;;;;;;;;;;
87;affadir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afadi;;;;;;;;
88;affaiblir;;;;;;afEbli;;;;;;afEblira;;;;;;afEblisE;afEblir;;;;;;;;afEbli;afEblisâ;;;;;;;;afEbli;;;;afEbli;;afEbli;afEbli;afEbli;;;;;;
89;affairer;;;;;afErEr;;;;;;;;;;;;afErE;afErE;;;;;;;;;afEr;;;;;;;;;afEr;;afEr;afEr;afEr;;;;;;;;;;
90;affaisser;;;;;;;;;;;;;afEsjô;;;;;;afEse;;;;;;;;;;;;;;;;;;;;afEs;afEs;afEse;;afEse;afEse;;;;;;
91;affaler;;;;;;afala;;;;;;;;;;;afalE;;afale;;;;;;;;afal;;;;;;;;;afal;;;;;afale;afale;afale;afale;;;;;;
92;affamer;;;;;;;;;;;;;;;;;afamE;;;;;;;;;;;;;;;;;;;afam;;;;;afame;afame;afame;afame;;;;;;
93;affecter;;;;;;afEkta;;;;;;afEkt6ra;;;;;;afEktE;;;;;;;afEktô;;afEkt;afEktâ;;;;;;;afEktô;afEkt;;;;afEkt;afEkte;afEkte;afEkte;afEkte;;;;;;
94;affectionner;;;;;;;;;;;;;;;;;;afEksjOnE;;;;;;;;;;;;;;;;;;afEksjOn;;;;afEksjOn;;;;afEksjOne;;;;;;
95;affermir;;;;;;afErmi;;;;;;;;;;;;;;;;;;;;;;afErmisâ;;;;;;;;;;;;afErmi;;;;afErmi;;;;;;
96;afficher;;;;;;afiSa;;afiS6rE;;;;;;afiSE;;afiSE;afiSE;afiSE;afiSe;;;;;;;;afiS;afiSâ;;;;;;afiS6rE;;afiS;;afiS;;afiS;afiSe;;afiSe;afiSe;;;;afiS;;
97;affilier;;;;;;;;;;;;;;;;;;;afilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;affiner;;;;;;;;;;;;;;;;;;;afine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;affirmer;;;;;;afirma;;;;;;;;;;afirmE;afirmE;afirmE;afirme;;;;;;;afirme;afirm;afirmâ;;;;;;;;afirm;afirme;afirm;afirm;afirm;;afirme;afirme;afirme;;;;;;afirm
100;affleurer;;;;;;;;;;;;;;;;;afl6rE;;afl6re;;;;;;;;afl9r;;;;;;;;;;;;;afl9r;;;;;;;;;;
101;affliger;;;;;;;;;;;;;;;;;;;;;;;;;;;afliZ;;;;;;;;;afliZ;;;afliZ;afliZ;;;afliZe;afliZe;;;;;;
102;affluer;;;;;aflyEr;;;;;;;;;;;;aflyE;;aflye;;;;;;;;;;;;;;;;;;;;afly;afly;;;;;;;;;;
103;affoler;;;;;;afOla;;;;;;;;afOlE;;;afOlE;afOlE;;;;;;;;afOle;afOl;afOlâ;;;;;;;;afOl;;;;afOl;;;afOle;afOle;;;;;;
104;affranchir;;;;;;afrâSi;;;;;;;;;;;;;afrâSir;;;;;;;;afrâSi;afrâSisâ;;;;;;;;afrâSi;;afrâSi;;afrâSi;;;;afrâSi;;;;;;
105;affronter;;;;;;afrôta;;afrôt6rE;;;;;afrôtjô;afrôtE;;afrôtE;afrôtE;afrôtE;afrôte;;;;;;;;afrôt;afrôtâ;;;;afrôt6rE;;;;afrôt;;;afrôt;afrôt;;;;afrôte;;;;;;afrôt
106;affréter;;;;;;;afrEt6rô;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;affubler;;;;;;afybla;;;;;;;;;;;;;afyble;;;;;;;;;;;;;;;;;;;;;;;;;afyble;;;;;;
108;affûter;;;;;;;;;;;;;;;;;;;afyte;;;;;;;;;;;;;;;;;;;;;;;afyte;;;;;;;;
109;agacer;;;;;;agasa;;;;;;;;;;;agasE;agasE;agase;;;;;;;agase;agas;;;;;;;;;agas;agase;agas;agas;agas;;agase;;agase;;;;;;
110;agencer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZâse;;;;;;
111;agenouiller;;aZ6nujE;;;;aZ6nuja;;;;;;aZ6nuj6ra;;;;;aZ6nujE;aZ6nujE;aZ6nuje;;;;;;;;aZ6nuj;;;;;;;;;aZ6nuj;aZ6nuje;;aZ6nuj;aZ6nuj;;aZ6nuje;aZ6nuje;aZ6nuje;;;;;;
112;agglutiner;;;;;aglytinEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aglytin;aglytin;aglytine;;aglytine;;;;;;;
113;aggraver;;;;;;agrava;;;;;;;;;;;agravE;agravE;agrave;;;;;;;;;;;;;;;;;;;;agrav;agrav;;agrave;;agrave;;;;;;
114;agir;;;;;;aZi;;aZirE;;;;aZira;;aZisE;aZisje;aZisE;aZisE;aZisE;aZir;;;;;;aZisô;aZise;aZi;aZisâ;;aZirE;;;;aZirE;aZisô;aZi;aZise;aZi;aZis;aZi;;;;;;aZis;;;;aZis
115;agiter;;aZitE;;;aZitEr;aZita;;;;;;;;aZitE;;;aZitE;aZitE;aZite;;;;;;;;aZit;aZitâ;;;;;;aZit6rE;;aZit;aZite;aZit;aZit;aZit;aZite;aZite;;aZite;;;;;;
116;agonir;;;;;;;;;;;;;;;;;;;agOnir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;agoniser;;;;;;;;;;;;;;;;;;agOnizE;agOnize;;;;;;;;agOniz;agOnizâ;;;;;;;;agOniz;;;;;;;;;;;;;;
118;agrafer;;;;;;;;;;;;;;;;;;;agrafe;;;;;;;agrafe;agraf;;;;;;;;;;;;;;;;;;;;;;;
119;agrandir;;;;;agrâdir;agrâdi;;;;;;;;;;;agrâdisE;agrâdisE;agrâdir;;;;;;;;agrâdi;agrâdisâ;;;;;;agrâdirE;;agrâdi;;agrâdi;agrâdis;agrâdi;;agrâdi;agrâdi;agrâdi;;;;;;
120;agresser;;;;;;;;;;;;;;;;;;;agrEse;;;;;;;;;;;;;;;;;agrEs;;;;agrEs;;agrEse;agrEse;agrEse;;;;;;
121;agripper;;;;;;agripa;;;;;;;;;;;;agripE;agripe;;;;;;;;;agripâ;;;;;;;;agrip;;;agrip;agrip;agripe;;;agripe;;;;;;
122;agréer;;;;;;;;;;;;;;;;;;;agrEe;;;;;;;agrEe;;;;;;;;;;agre;agrEe;;;agre;;;;agrEe;;;;;;
123;agréger;;;;;;;;;;;;;;;;;agrEZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;agrémenter;;;;;;agrEmâta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrEmâte;;agrEmâte;;;;;;
125;aguerrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agEri;;;;;;
126;aguicher;;;;;;;;;;;;;;;;;;;agiSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;ahaner;;;;;;aana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aan;;;aan;;;;;;;;;;;
128;ahurir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ayri;;ayri;;;;;;;
129;aider;;;;;EdEr;Eda;Ed6rô;Ed6rE;;Ed6ra;Ed6rô;Ed6ra;;EdE;Edje;EdE;EdE;EdE;Ede;;;;;;Edô;Ede;Ed;Edâ;;Ed6rE;Ed6rje;Ed6rE;;Ed6rE;Edô;Ed;Ede;Ed;Ed;Ed;Ede;Ede;Ede;Ede;;Ed;Edje;Ed;Ed;Ed
130;aigrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egri;;;;;;
131;aiguiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EgHij;;;;;;;;EgHij;;
132;aiguillonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EgHijOn;;;;;EgHijOne;;;;;;
133;aiguiser;;;;;;;;;;;;;;;;;EgizE;;Egize;;;;;;;;Egiz;;;;;;;;;Egiz;;;;Egiz;Egize;;;Egize;;;;;;
134;aimanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emât;;;;;Emâte;Emâte;;Emâte;;;;;;
135;aimer;;;;;EmEr;Ema;;Em6rE;Em6re;Em6ra;Em6rô;Em6ra;Emjô;EmE;Emje;EmE;EmE;EmE;Eme;;;;;Ema;Emô;Eme;Em;Emâ;Em6rjô;Em6rE;Em6rje;Em6rE;Em6rE;Em6rE;Emô;Em;Eme;Em;Em;Em;Eme;Eme;Eme;Eme;Emjô;Em;Emje;Em;Em;Em
136;ajourner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZurn;;;;;;;;;;;;;;
137;ajouter;;aZutE;;;aZutEr;aZuta;;aZut6rE;aZut6re;aZut6ra;aZut6rô;aZut6ra;aZutjô;aZutE;;aZutE;aZutE;aZutE;aZute;;;;;;aZutô;aZute;aZut;aZutâ;;;;;aZut6rE;;;aZut;aZute;;aZut;aZut;aZute;aZute;aZute;aZute;;;;;;aZut
138;ajuster;;;;;;aZysta;;;;;;;;;;;;aZystE;;;;;;;;;aZyst;aZystâ;;;;;;;;aZyst;;;;aZyst;aZyste;;aZyste;;;;;;;
139;alanguir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alâgi;;;alâgi;;;;;;
140;alarmer;;;;;;;;;;;;;;;;;;alarmE;alarme;;;;;;;alarme;;;;;;;;;;alarm;;;;;;;;;;;;;;
141;alerter;;;;;;;;;;;;;;;;;;;alErte;;;;;;alErtô;;alErt;;;;;;;;;alErt;;;;alErt;alErte;;alErte;alErte;;;;;;alErt
142;aligner;;;;;aliJEr;;;;;;;;;;;;aliJE;;aliJe;;;;;;;aliJe;aliJ;aliJâ;;;;;;;;aliJ;;;aliJ;aliJ;aliJe;aliJe;aliJe;aliJe;;;;;;
143;alimenter;;;;;;;;;;;;;;;;;alimâtE;alimâtE;alimâte;;;;;;;;;alimâtâ;;;;;;;;alimât;;;;alimât;;alimâte;;alimâte;;;;;;
144;aliter;;;;;;alita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;aliéner;;;;;;;;;;;;;;;;;;;aljEne;;;;;aljEna;;;;;;;;;;;;;;;;aljEn;;;;;;;;;;
146;allaiter;;;;;;;;;;;;;;;;;;alEtE;alEte;;;;;;;;;;;;;;;;;alEt;;;;alEt;;;;;;;;;;
