;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
626;court-circuiter;;;;;;;;;;;;;;;;;;;kursirkHite;;;;;;kursirkHit;;;;;;;;;;;;;;;;;;;;;;;
627;courtiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kurtiz;;;;;kurtize;;;;;;;;;
628;couver;;;;;;;;;;;;;;;;;;kuvE;;;;;;;;;;;;;;;;kuv;;;;;;;kuve;;;;;;;
629;couvrir;;;;;;kuvri;;;;;;kuvrira;;;;kuvrE;;kuvrE;kuvrir;;;;;;kuvr;;;;;;kuvrirE;;;kuvr;;kuvr;kuvr;kuvr;kuvErt;kuvErt;kuvEr;kuvEr;;;;;;
630;coïncider;;;;;;;;;;;;;;;;;;kOêsidE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;coûter;;;;;;;;;;;;kut6ra;;;;;;kutE;kute;;;;;;kut;;;;;;;kut6rE;;kut;;;kut;kut;;;;kute;;;;;;
632;cracher;;;;;;kraSa;;;;;;;;;;;;;kraSe;;;;;;kraS;kraSâ;;;;;;;;kraS;kraSe;kraS;;kraS;;;;;;;;;;
633;crachoter;;;;;;;;;;;;;;;;;;;kraSOte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
634;craindre;;;;;;;;;;;;;;;krEJe;krEJE;krEJE;krEJE;krêdr;;;;;krEJe;krê;krEJâ;;;;;;;;krê;krEJe;krê;krEJ;krê;;krêt;;krê;;;;;;
635;cramponner;;;;;;krâpOna;;;;;;;;;;krâpOnE;;krâpOnE;;;;;;krâpOne;;;;;;;;;;;;;;krâpOn;;;;;;;;;;
636;craquer;;;;;;kraka;;;;;;;;;;;;krakE;krake;;;;;;krak;krakâ;;;;;;;;krak;krake;;;krak;;;;krake;;;;;;
637;cravacher;;;;;;;;;;;;;;;;;;;kravaSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
638;cravater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kravate;;;;;;;;
639;creuser;;;;;;;;;;;;;;;;;;kr6zE;kr6ze;;;;;kr6ze;;;;;;;;;;kr2z;;;;kr2z;kr6ze;kr6ze;;;;;;;;kr2z
640;crevasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kr6vase;;;;;;;;
641;crever;;;;;;;;;krEv6re;;;;;;;;;kr6vE;kr6ve;;;;;;krEv;kr6vâ;;;;krEv6rE;;krEv6rE;;krEv;;;krEv;krEv;kr6ve;;kr6ve;kr6ve;;;;;;krEv
642;crier;;krjE;;;;krja;;;;;;;;;;;kriE;kriE;krie;;;;kriô;krie;kri;kriâ;;;;;;krirE;;kri;krie;kri;kri;kri;;;krie;krje;;;;;;
643;crisper;;;;;;krispa;;;;;;;;;;;;;krispe;;;;;;krisp;;;;;;;;;;;;;krisp;;;;krispe;;;;;;
644;crisser;;;;;;;;;;;;;;;;;krisE;;;;;;;;kris;;;;;;;;;;;;;kris;;;;;;;;;;
645;critiquer;;;;;;;;;;;;;;;;;;;kritike;;;;;;;;;;;;;;;kritik;;;;;;;;;;;;;;
646;crocheter;;;;;;;;;;;;;;;;;;;krOS6te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;croire;krym;kry;;kry;;kry;;krwarE;krware;krwara;krwarô;krwara;;krwajE;krwaje;krwajE;krwajE;krwajE;krwar;;;;krwajô;krwaje;krwa;krwajâ;;krwarE;;krwarE;;krwarE;krwajô;krwa;krwaje;krwa;krwa;krwa;kry;;;kry;;krwa;krwaje;krwa;;krwa
648;croiser;;;;;krwazEr;krwaza;;;;;;krwaz6ra;;;;;krwazE;krwazE;krwaze;;;;;;krwaz;krwazâ;;;;;;;;krwaz;;;krwaz;krwaz;krwaze;;krwaze;krwaze;;;;;;
649;croquer;;;;;;;;;;;;;;;;;;;krOke;;;;;;;;;;;;;;;krOk;;;;;;;;krOke;;;;;;
650;crouler;;;;;;;;;;;;;;;;;krulE;;krule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
651;croupir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krupi;;;;;;;;;;;;
652;croître;;;;;;;;;;;;;;;;;;;krwatr;;;;;;;;;;;;;;;;;;;krwa;;;;kry;;;;;;
653;crâner;;;;;;;;;;;;;;;;;;;;;;;;;kran;;;;;;;;;;;;;;;;;;;;;;;
654;crécher;;;;;;;;;;;;;;;;;;;krESe;;;;;;;;;;;;;;;krES;;;;krES;;;;;;;;;;
655;créer;;;;;krEEr;krEa;;;;;;;krEjô;;;;krEE;;krEe;;;;krEô;;kre;;;;;;;;;kre;krEe;;kre;kre;;krEe;;krEe;;;;;;kre
656;crépiter;;;;;;krEpita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;cueillir;;;;;;;;;;;;;;;;;;;k6jir;;;;;;;;;;;;;;;k9j;;;;k9j;k6ji;;;k6ji;;;;;;
658;cuire;;;;;;;;;;;;;;;;;;;kHir;;;;;;;;;;;;;;;;;;;kHi;;;;kHi;;;;;;kHiz
659;cuisiner;;;;;;;;;;;;;;;;;;;kHizine;;;;;;;;;;;;;;;kHizin;;;;kHizin;;;;kHizine;;;;;;
660;cuiter;;;;;;;;;;;;;;;;;;;kHite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;cuivrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHivre;;;;;;;;
662;culpabiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylpabiliz;;;;;;;;;;
663;cultiver;;;;;;;;;;;;;;;;;;kyltivE;kyltive;;;;;;;;;;;;;;;kyltiv;kyltive;;kyltiv;;;kyltive;kyltive;;;;;;;
664;cuver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kyv;;;;;;;;;;
665;câliner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kalin;;;;;;;;;;;
666;céder;;;;;sEdEr;sEda;;;;;;;;;;;sEdE;sEdE;sEde;;;;;;sEd;;;;;;;sEd6rE;sEdô;sEd;;;;sEd;;;;sEde;;;;;;
667;célébrer;;;;;;;;;;;;;;;;;sElEbrE;;sElEbre;;;;sElEbrô;;sElEbr;sElEbrâ;;;;;;;sElEbrô;sElEbr;;;sElEbr;;;;;sElEbre;;;;;;sElEbr
668;côtoyer;;;;;;;;;;;;;;;;;kOtwajE;kOtwajE;;;;;;;;;;;;;;;;kOtwa;;;;kOtwa;;;;;;;;;;
669;dactylographier;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;
670;daigner;;;;;;;;;;;;;;;;;;;;;;;;dEJe;;;;;;;;;;dEJ;dEJe;;;dEJ;;;;;;;;;;
671;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;dam;;;;;;;;;;;;
672;damner;;;;;;;;;;;;;;;;;;;dane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
673;dandiner;;;;;;;;;;;;;;;;;;dâdinE;dâdine;;;;;;;dâdinâ;;;;;;;;;;;;;;;;;;;;;;
674;danser;;;;;;dâsa;;;;;dâs6rô;;;dâsE;;;dâsE;dâsE;dâse;;;;dâsô;dâse;dâs;dâsâ;;;;;;;dâsô;dâs;dâse;dâs;dâs;dâs;;;;dâse;;;;dâs;;dâs
675;darder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dard;;;;;;;;;;
676;dater;;;;;;data;;;;;;;;;;;;datE;date;;;;;;dat;;;;;;;;;dat;;;dat;dat;;;;;;;;;;
677;demander;;d6mâdE;;;;d6mâda;;d6mâd6rE;;;;d6mâd6ra;;d6mâdE;d6mâdje;d6mâdE;;d6mâdE;d6mâde;;;d6mâda;d6mâdô;d6mâde;d6mâd;d6mâdâ;;d6mâd6rE;;;;d6mâd6rE;d6mâdô;d6mâd;d6mâde;d6mâd;d6mâd;d6mâd;;d6mâde;d6mâde;d6mâde;;d6mâd;;d6mâd;d6mâd;d6mâd
678;demeurer;;;;;;d6m6ra;;;;;;;;;;;d6m6rE;d6m6rE;d6m6re;;;;;;d6m9r;d6m6râ;;;;;;;;d6m9r;;;d6m9r;d6m9r;d6m6re;d6m6re;;d6m6re;;;;;;
679;descendre;;dEsâdi;;;dEsâdir;dEsâdi;;;;;;;dEsâdjô;dEsâdE;;dEsâdE;dEsâdE;dEsâdE;dEsâdr;;;;dEsâdô;dEsâde;dEsâ;dEsâdâ;;;;;;dEsâdrE;dEsâdô;dEsâ;dEsâde;dEsâ;dEsâd;dEsâ;;dEsâdy;dEsâdy;dEsâdy;;dEsâd;;;dEsâd;dEsâd
680;dessaler;;;;;;;;;;;;;;;;;;dEsalE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;dessaouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsul;;;;;;;;;;;
682;desserrer;;;;;;;;;;;;;;;;;;;dEsEre;;;;;;;;;;;;;;;;;;;dEsEr;;;;dEsEre;;;;;;
683;desservir;;;;;;;;;;;;;;;;;;;dEsErvir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
684;dessiner;;;;;;dEsina;;;;;;;;;;;dEsinE;dEsinE;dEsine;;;;;dEsine;dEsin;dEsinâ;;;;;;;;dEsin;;;dEsin;dEsin;dEsine;dEsine;;dEsine;;;;;;
685;dessoûler;;;;;;;;;;;;;;;;;;;dEsule;;;;;;;;;;;;;;;dEsul;;;;;;;;;;;;;;
686;dessécher;;;;;;;;;;;;;;;;;;dEsESE;dEsESe;;;;;;dEsES;;;;;;;;;;;;;;;;;;;;;;;
687;destiner;;;;;;;;;;;;;;;;;;dEstinE;;;;;;;;;;;;;;;;;;;;;;dEstine;dEstine;dEstine;;;;;;
688;devancer;;;;;d6vâsEr;;;;;;;;;;;;;;;;;;;;;d6vâsâ;;;;;;;;d6vâs;;;;;;;;d6vâse;;;;;;
689;devenir;;;;;;d6vê;;;;;d6vjêdrô;d6vjêdra;;d6v6nE;;d6v6nE;d6v6nE;d6v6nE;d6v6nir;;;;d6v6nô;d6v6ne;d6vjê;d6v6nâ;;d6vjêdrE;;d6vjêdrE;d6vjêdrE;d6vjêdrE;;d6vjê;d6v6ne;d6vjê;d6vjEn;d6vjê;d6v6ny;d6v6ny;d6v6ny;d6v6ny;;d6vjEn;;;;d6vjEn
690;deviner;;;;;;;;;;;;;;d6vinE;;d6vinE;;d6vinE;d6vine;;;;;d6vine;d6vin;d6vinâ;;;;d6vin6rE;;;;d6vin;d6vine;;;d6vin;;;;d6vine;;;;d6vin;;
691;devoir;;dy;;;dyr;dy;d6vrô;d6vrE;d6vre;d6vra;d6vrô;d6vra;d6vjô;d6vE;d6vje;d6vE;d6vE;d6vE;d6vwar;;;dy;d6vô;d6ve;dwa;d6vâ;d6vriô;d6vrE;d6vrie;d6vrE;d6vrE;d6vrE;d6vô;dwa;d6ve;dwa;dwav;dwa;dy;dy;dy;dy;;dwav;d6vje;;dwav;dwav
692;diagnostiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djagnOstike;;;;;;
693;dicter;;;;;;;;;;;;;;;;;;;dikte;;;;;;dikt;;;;;;;;;dikt;;;;;;;;dikte;;;;;;
694;diffuser;;;;;;;;;;;;;;;;;;;;;;;;;difyz;;;;;;;;;;;;;difyz;;;;difyze;;;;;;
695;différencier;;;;;;;;;;;;;;;;;;difErâsjE;;;;;;;;;;;;;;;;;;;;difErâsi;;;;;;;;;;
696;différer;;;;;;;;;;;;;;;;;;;difEre;;;;;;;;;;;;;;;;;;;difEr;;;;;;;;;;
697;digérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diZEre;;;;;;;;;
698;dilapider;;;;;;;;;;;;;;;;;;;;;;;;dilapide;;;;;;;;;;;;;;;;;;;;;;;;
699;diluer;;;;;;;;;;;;;;;;;;dilyE;;;;;;;;;;;;;;;;;;;dily;;;;;;;;;;;
700;diminuer;;;;;;;;;;;;;;;;;;;diminye;;;;;;diminy;;;;;;;;;diminy;;;;;;;;diminye;;;;;;
701;dinguer;;;;;;;;;;;;;;;;;;;dêge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
702;diplômer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diplOme;;;;;;
703;dire;dim;di;dit;;dir;di;dirô;dirE;dire;dira;dirô;dira;dizjô;dizE;dizje;dizE;dizE;dizE;dir;;;;dizô;dit;di;dizâ;;dirE;dirje;dirE;;dirE;dizô;di;dit;di;diz;di;dit;dit;di;di;;diz;dizje;diz;diz;diz
704;diriger;;;;;diriZEr;diriZa;;;;;;;;;;;;diriZE;diriZe;;;;diriZô;;diriZ;diriZâ;;;;diriZ6rE;;;diriZô;diriZ;diriZe;;;diriZ;;diriZe;diriZe;diriZe;;;;;;diriZ
705;discerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disErn;;;;;;;;;;
706;discourir;;;;;;;;;;;;;;;;;;diskurE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;discréditer;;;;;;;;;;;;;;;;;;;diskrEdite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
708;disculper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diskylp;;;;;;;;;;;;;;
709;discuter;diskytam;;;;;diskyta;;;;;;;;;diskytje;;diskytE;diskytE;diskyte;;;;;;diskyt;;;;;;;;;diskyt;diskyte;;diskyt;diskyt;;;;diskyte;;;;;;diskyt
710;disloquer;;;;;;dislOka;;;;;;;;;;;;;;;;;;;dislOk;;;;;;;;;;;;;;;;;;;;;;;
711;disparaître;;;;;;dispary;disparEtrô;;;;;;;;;;;disparEsE;disparEtr;;;;;disparEse;disparE;;;;;;;;;disparE;disparEse;disparE;disparEs;disparE;dispary;dispary;;dispary;;disparEs;;;;
712;dispenser;;;;;;;;;;;;;;;;;;;dispâse;;;;;;dispâs;;;;;;;;;dispâs;;;;;;;dispâse;dispâse;;;;;;
713;disperser;;;;;;dispErsa;;;;;;;;;;;;;;;;;;;;dispErsâ;;;;;dispErs6rE;;;;dispErse;;;;;;dispErse;;;;;;;
714;disposer;;;;;;dispOza;;;;;;;;dispOzE;;;;dispOzE;dispOze;;;;;dispOze;dispoz;dispOzâ;;;;;;;;dispoz;;;;dispoz;dispOze;dispOze;dispOze;dispOze;;;;;;
715;disputer;;;;;;;;;;;;;dispytjô;;;;dispytE;;dispyte;;;dispyta;;;dispyt;;;;;;;;;dispyt;;;dispyt;dispyt;;;;;;;;;;
716;disserter;;;;;;;;;;;;;;;;;;;;;;;;;disErt;;;;;;;;;;;;;;;;;;;;;;;
717;dissimuler;;;;;;;;;;;;;;;;disimylE;;disimylE;disimyle;;;;;;;disimylâ;;;;;;;;;disimyle;;;;;disimyle;;disimyle;;;;;;
718;dissiper;;;;;;;;;;;;;;;;;;disipE;disipe;;;;;;disip;;;;;;;;;disip;;;;;;;;;;;;;;
719;dissoudre;;;;;;;;;;;;;;;;;disOlvE;disOlvE;;;;;;;;;;;;;;disudrE;;;;;;;;;;;;;;;;
720;dissuader;;;;;;;;;;;;;;;;;;;disyade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
721;distendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;distâdy;distâdy;;;;;;
722;distiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;distil;;;;distil;;;;;;;;;;
723;distinguer;;;;;;distêga;;;;;;;;;;;;distêgE;distêge;;;;;;distêg;distêgâ;;;;;;;;distêg;;;distêg;distêg;;;;distêge;;;;;;
724;distraire;;;;;;;;;;;;;;;;;;;distrEr;;;;;;;;;;;;;;;;;distrE;;distrE;;distrEt;distrE;distrE;;;;;distrE;
725;distribuer;;;;;;distribya;;;;;;;;;;distribyE;;distribyE;distribye;;;;;distribye;distriby;distribyâ;;;;;;;;distriby;;;;;;;;distribye;;;;;;
726;divaguer;;;;;;;;;;;;;;;;;divagE;;;;;;;;;;;;;;;;;;;;;divag;;;;;;;;;;
727;diverger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;divErZ;;;;;;;;;;;
728;divertir;;;;;;;;;;;;;;;;;;;divErtir;;;;;;;;;;;;;;;;;divErti;;;;;;;;;;;;
729;diviser;;;;;;;;;;;;;;;;;;divizE;divize;;;;;divize;diviz;;;;;;;;;;;;;diviz;;;;divize;;;;;;
730;divorcer;;;;;;;;divOrs6rE;;;;;divOrsjô;;;;;;divOrse;;;;;;;;;;;;;;;;divOrse;;divOrs;;;divOrse;;divOrse;;;;;;
731;divulguer;;;;;;;;;;;;;;;;;;divylgE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732;diéser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djEz;;;;;;;;;;
733;dominer;;;;;;dOmina;;;;;;;;;;;dOminE;dOminE;dOmine;;;;;;dOmin;;;;;;;;;dOmin;;;dOmin;dOmin;;;;dOmine;;;;;;
734;dompter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dôte;;;;;;
735;donner;;;;;;dOna;dOn6rô;dOn6rE;dOn6re;;;dOn6ra;dOnjô;dOnE;dOnje;;dOnE;dOnE;dOne;;;;;dOne;dOn;dOnâ;;dOn6rE;;dOn6rE;dOn6rE;dOn6rE;dOnô;dOn;dOne;dOn;dOn;dOn;dOne;dOne;dOne;dOne;dOnjô;dOn;dOnje;dOn;dOn;dOn
736;dorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dOr;;;;;;;dOre;dOre;;;;;;
737;dorloter;;;;;;;;;;;;;;;;;;;;;;;;;dOrlOt;;;;;;;;;dOrlOt;;;;;;;;;;;;;;
738;dormir;;dOrmi;;;;;;dOrmirE;dOrmire;;dOrmirô;dOrmira;;dOrmE;dOrmje;dOrmE;;dOrmE;dOrmir;;;;;dOrme;dOr;dOrmâ;;;;;;;;dOr;dOrme;dOr;;dOr;;;;;;dOrm;;;dOrm;
739;doser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doz;;;;;;;;;;
740;doter;;;;;;;;;;;;;;;;;;;dOte;;;;;;;;;;;;;;;;;;;dOt;dOte;dOte;;dOte;;;;;;
741;doubler;;;;;;;;;;;;;;;;;;;duble;;;;;;dubl;dublâ;;;;;;;;dubl;;;;dubl;;duble;;;;;;;;
742;douer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;due;;due;;;;;;
743;douter;;;;;;;;;;;;;;dutE;;dutE;dutE;dutE;dute;;;;;;dut;;;;;;;;;dut;dute;dut;;dut;;;;dute;;;;;;
744;draguer;;;;;;;;;;;;;;;;dragE;;dragE;drage;;;;;;drag;;;;;;;;;drag;;;;drag;;;;;;;;;;
745;drainer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;drEn;;;;;;;;;;;;;;
746;dramatiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dramatiz;;;;;;;;;;
747;dresser;;;;;;;;;;;;;;drEsE;;;;drEsE;drEse;;;drEsa;drEsô;;drEs;drEsâ;;;;;;;;drEs;;;drEs;drEs;drEse;;drEse;drEse;;;;;;
748;droguer;;;;;;;;;;;;;;;;;;;drOge;;;;;;drOg;;;;;;;;;drOg;drOge;;;;;;;;;;;drOg;;
749;duper;;;;;;;;;;;;;;;;;;;dype;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
750;durcir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dyrsi;;;;;;;;;;
751;durer;;;;;;dyra;;;;;;dyr6ra;;;;;dyrE;dyrE;dyre;;;;;;dyr;dyrâ;;;;;;;;dyr;;;;dyr;;;;;;;;;;
752;duveter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dyv6te;;;;;;
753;déambuler;;;;;;;;;;;;;;dEâbylE;;;dEâbylE;;;;;;;;;dEâbylâ;;;;;;;;;;;dEâbyl;;;;;;;;;;;
754;déballer;;;;;;dEbala;;;;;;;;;;;;;dEbale;;;;;;;;;;;;;;;;;;dEbal;;;;;dEbale;;;;;;
755;débander;;;;;;;;;;;;;;;;;;;dEbâde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
756;débarbouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbarbuj;;;;;;;;;;;;;;
757;débarquer;;;;;;;;;;;;;;;;;dEbarkE;;dEbarke;;;;dEbarkô;dEbarke;dEbark;;;;;;;;;;;;;dEbark;;;;dEbarke;;;;;;
758;débarrasser;;;;;;dEbarasa;;;dEbaras6re;;;dEbaras6ra;;;;;;dEbarasE;dEbarase;;;;;dEbarase;dEbaras;;;;;;;;;dEbaras;;dEbaras;;dEbaras;;dEbarase;;dEbarase;;;;;;
759;débattre;;;;;;;;;;;;;;;;;;;dEbatr;;;;;;dEba;;;;;;;;;;;;dEbat;dEba;;;;;;;;;;
760;débiliter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbilite;;;;;;
761;débiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbit;dEbite;;;;;;;;;;;;;
762;déblayer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEblEje;;;;;;
763;débloquer;;;;;;;;;;;;;;;;;;;;;;;;dEblOke;;;;;;;;;;dEblOk;;;dEblOk;dEblOk;;;;;;;;;;
764;déborder;;;;;;;;;;;;;;;;;;dEbOrdE;;;;;;;dEbOrd;dEbOrdâ;;;;;;;;dEbOrd;;;;dEbOrd;;dEbOrde;;dEbOrde;;;;;;
765;déboucher;;;;;dEbuSEr;dEbuSa;;;;;;;;;;;dEbuSE;dEbuSE;dEbuSe;;;;;;dEbuS;;;;;;;;dEbuSô;dEbuS;;;dEbuS;dEbuS;;;;;;;;;;
766;débouler;;;;;;;;;;;;;;;;;;dEbulE;;;;;;;;;;;;;;;;;;;;dEbul;;;;;;;;;;
767;débourrer;;;;;;;;;;;;;;;;;;;dEbure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
768;débourser;;;;;;;;;;;;;;;;;;;dEburse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
769;déboussoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbusOle;;;;;;
770;déboîter;;;;;;;;;;;;;;;;;dEbwatE;;;;;;;;;;;;;;;;;;;;;dEbwat;;;;;;;;;;
771;débrancher;;;;;;;;;;;;;;;;;;;dEbrâSe;;;;dEbrâSô;;dEbrâS;;;;;;;;;;dEbrâSe;;;;;;;dEbrâSe;;;;;;
772;débrayer;;;;;;;;;;;;;;;;;;dEbrEjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
773;débrider;;;;;;;;;;;;;;;;;;;dEbride;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
774;débrouiller;;;;;;;;dEbruj6rE;;dEbruj6ra;;dEbruj6ra;;;;;;;dEbruje;;;;;;dEbruj;;;;;;;;;dEbruj;dEbruje;dEbruj;dEbruj;dEbruj;;dEbruje;;;;dEbruj;;;;
775;débuter;;;;;;;;;;;;;;;;;;;;;;;;;dEbyt;;;;;;;;;dEbyt;;;;dEbyt;;;;dEbyte;;;;;;
776;décaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkal;;;;;;;;;;
777;décalotter;;;;;;dEkalOta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
778;décamper;;;;;;dEkâpa;;;;;;;;;;;;;dEkâpe;;;;;;;;;;;;;;;;;;;dEkâp;;;;;;;;;;
779;décaper;;;;;;;;;;;;;;;;;;dEkapE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
780;décapiter;;;;;;;;;;;;;;;;;;;;;;;;;dEkapit;;;;;;;;;;;;;;;;;;;;;;;
781;décapuchonner;;;;;;dEkapySOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
782;décarrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkar;;;;;;;;;;;;;;
783;déceler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEs6le;;;;;;;;
784;décerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsErn;;dEsErne;;;;;;;;
785;décerveler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsErvEl;;;;;;;;;;
786;décevoir;;;;;;;;;;;;;;;;;;;dEs6vwar;;;;;;;;;;;;;;;;;dEswa;;;;dEsy;;dEsy;;;;;;
787;décharger;;;;;;;;;;;;;;;;;;;dESarZe;;;;;;;;;;;;;;;;;;;dESarZ;;;;;;;;;;
788;déchaîner;;;;;;;;;;;;;;;;;dESEnE;dESEnE;dESEne;;;;;;dESEn;;;;;;;;;;;;;dESEn;;;;dESEne;;;;;;
789;déchiffrer;;;;;;;;;;;;;;;;;;;dESifre;;;;;;;;;;;;;;;;;;;;;;;dESifre;;;;;;
790;déchiqueter;;;;;;;;;;;;;;;;;;;dESik6te;;;;;;;dESik6tâ;;;;;;;;;;;;;;;;dESik6te;;;;;;
791;déchirer;;;;;;dESira;;;;;;;dESirjô;;;;dESirE;;dESire;;;;;;dESir;dESirâ;;;;dESir6rE;;;;dESir;dESire;;;dESir;;dESire;dESire;dESire;;;;;;
792;décider;;dEsidE;;;;dEsida;;;;;dEsid6rô;;;dEsidE;;;;;dEside;;;;dEsidô;dEside;dEsid;dEsidâ;;;;;dEsid6rE;;;dEsid;;dEsid;dEsid;dEsid;;dEside;;dEside;;dEsid;;;;dEsid
793;décimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsime;dEsime;dEsime;;;;;;
794;déclamer;;;;;;;;;;;;;;;;;;dEklamE;;;;;;;dEklam;;;;;;;;;;;;;;;;;dEklame;;;;;;
795;déclarer;;;;;;dEklara;;;;;;;;;;;;dEklarE;dEklare;;;;dEklarô;;dEklar;;;;;;;;;dEklar;;;dEklar;dEklar;;;;dEklare;;;;;;
796;déclasser;;;;;;;;;;;;;;;;;;;dEklase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
797;déclencher;;;;;;dEklâSa;;;;;;dEklâS6ra;;;;;;;;;;;;;dEklâS;;;;;;;;;;;;dEklâS;dEklâS;;dEklâSe;;dEklâSe;;;;;;
798;décliner;;;;;;;;;;;;;dEklinjô;;;;;dEklinE;;;;;;;dEklin;;;;;;;;;;;;;dEklin;;;;;;;;;;
799;décocher;;;;;;;;;;;;;;;;;;dEkOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800;décoincer;;;;;;;;;;;;;;;;;;;dEkwêse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
801;décoller;;;;;;;;;;;;;;;;;;;;;;;;;dEkOl;;;;;;;;;dEkOl;;;;;dEkOle;;;dEkOle;;;;;;
802;décolleter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOl6te;;;;;;;;
