;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
20;abîmer;;;;;;abima;;;;;;;;;;;;;abime;;;;;;abim;;;;;;;;;;;;abim;;;abime;abime;abime;;;;;;
21;accabler;;;;;;;;;;;;;;;;;;;akable;;;;;;akabl;;;;;;;;;;;;;;;;;akable;;;;;;
22;accaparer;;;;;;;;;;;;;;;;;;;;;;;;;akapar;;;;;;;;;;;;;;;akapare;;;;;;;;
23;accentuer;;;;;;;;;;;;;;;;;;aksâtyE;aksâtye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;accepter;;aksEptE;;;;aksEpta;;aksEpt6rE;;;aksEpt6rô;aksEpt6ra;;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;;;;;aksEpte;aksEpt;;;;aksEpt6rje;;;;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;;aksEpte;;aksEpt;;;;aksEpt
25;acclamer;;;;;;;;;;;;;;;;;aklamE;;;;;;;;aklam;;;;;;;;;;;;;;;;;;;;;;;
26;accommoder;;;;;;;;;;;;;;;;;;;akOmOde;;;;;;akOmOd;;;;;;;;;;;;;akOmOd;;;;;;;;;;
27;accompagner;;;;;;;;akôpaJ6rE;;;;;;akôpaJE;;;akôpaJE;akôpaJE;akôpaJe;;;;;akôpaJe;akôpaJ;;;;;;;;akôpaJô;akôpaJ;akôpaJe;akôpaJ;;akôpaJ;;akôpaJe;akôpaJe;akôpaJe;;akôpaJ;;;;
28;accomplir;;;;;;akôpli;;akôplirE;;;;;;;;;;;akôplir;;;;;akôplise;;;;;;;;;;akôpli;;;akôplis;akôpli;akôpli;akôpli;;akôpli;;;;;;
29;accorder;;akOrdE;;;;akOrda;;;;;;;;;;;akOrdE;akOrdE;akOrde;;;;akOrdô;akOrde;akOrd;;;;;;;;;akOrd;akOrde;;;akOrd;akOrde;akOrde;;akOrde;;akOrd;;;;akOrd
30;accoster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOste;;;;;;
31;accoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOte;;;;;;;;
32;accoucher;;;;;;;;;;;;;;;;;;;akuSe;;;;;;akuS;;;;;;;;;akuS;;;;akuS;;;;akuSe;;;;;;
33;accouder;;;;;;akuda;;;;;;;;;;;;;akude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;accoupler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akupl;;;;;;;;;;;;;;
35;accourir;;;;;;;;;;;;;;;;;;;;;;;;akure;;;;;;;;;;;;;;akur;;;;akury;;;;;;
36;accoutrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akutre;;;;;;;;
37;accrocher;;;;;;akrOSa;;;;;;;;;;akrOSE;;akrOSE;akrOSe;;;;;akrOSe;akrOS;akrOSâ;;;;;;akrOS6rE;;akrOS;akrOSe;akrOS;akrOS;akrOS;akrOSe;;akrOSe;akrOSe;;;;;;
38;accroupir;;;;;;akrupi;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrupi;;akrupi;;;;;;akrupi;;;;;;
39;accroître;;;;;;;;;;;;;;;;;;;akrwatr;;;;;;;;;;;;;;;;;;;akrwa;;;;akry;;;;;;
40;accueillir;;;;;;ak6ji;;ak6j6rE;;;;;;;;;;ak6jE;ak6jir;;;;;;ak9j;;;;;;;;ak6jô;ak9j;;;;ak9j;;;;ak6ji;;;;;;
41;acculer;;;;;akylEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;accumuler;;;;;;;;;;;;;;;;;;;;;;;;;akymyl;akymylâ;;;;;;;;akymyl;;;;;;;akymyle;akymyle;;;;;;
43;accuser;;;;;akyzEr;akyza;;;;;;;;;;;akyzE;;akyze;;;;;akyze;akyz;;;;;;;;;akyz;akyze;;;akyz;;;akyze;akyze;;;;;;akyz
44;accéder;;;;;;;;;;;;;;;;;;;aksEde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;accélérer;;;;;;;;;;;;;;;;;;aksElErE;aksElEre;;;;;;aksElEr;;;;;;;;;aksElEr;;;;aksElEr;;aksElEre;;aksElEre;;;;;;
46;acharner;;;;;;aSarna;;;;;;;;;;;;aSarnE;aSarne;;;;;;aSarn;;;;;;;;;aSarn;;;;;;;;;;;;;;
47;acheter;;;;;;aS6ta;aSEt6rô;;aSEt6re;;;aSEt6ra;;aS6tE;;;aS6tE;aS6tE;aS6te;;;;;;aSEt;;;;;;;aSEt6rE;;aSEt;aS6te;aSEt;aSEt;aSEt;;aS6te;aS6te;aS6te;;;;aSEt;;
