lexeme	NAME	GWEIGHT	fi1P	ii1P	ps1P	ps2P	ps2S	ai1P	fi1S	ii2S	inf	is3P	pI1P	pc1S	pi2P	pi2S	ppFS	ppMP	ps3P	fi2S	fi3S	pc3P	pi1S	ii1S	pI2P	pP	pi1P	pi3P	ai2P	ii2P	is1P	is1S	is2P	is2S	is3S	pI2S	pc3S	pi3S	ps3S	ai1S	ai2S	ai3P	ai3S	fi2P	fi3P	ii3P	ii3S	pc1P	pc2P	pc2S	ppFP	ppMS	ps1S
attabler	attabler	1.000000		1.666667							6.666667		0.833333				5.119048	32.142857					4.047619	1.666667		0.833333		1.666667										4.047619		0.833333		2.380952	4.880952			3.214286	2.380952				4.047619	23.571429	
atterrer	atterrer	1.000000															11.728395	20.370370					2.777778															2.777778				4.320988				2.160494	2.160494				2.160494	51.543210	
attifer	attifer	1.000000									10.447761						34.825871	7.960199								3.482587												6.965174					3.482587				3.482587				3.482587	25.870647	
attitrer	attitrer	1.000000															28.971963	13.084112																																		57.943925	
auréoler	auréoler	1.000000									1.707317						11.707317	12.926829								1.707317												8.292683					1.707317			6.585366	13.170732				3.658537	38.536585	
automatiser	automatiser	1.000000															14.285714	14.285714																																		71.428571	
autoproclamer	autoproclamer	1.000000															18.181818																																			81.818182	
avachir	avachir	1.000000	1.977401								2.542373						7.909605	14.689266										0.282486								14.689266	1.977401	13.276836					13.276836				1.977401					27.401130	
aveulir	aveulir	1.000000																																																		100.000000	
badigeonner	badigeonner	1.000000		1.732673					0.495050		7.673267						10.148515	20.049505					7.178218			3.465347										7.178218		7.178218				1.732673	4.950495	1.980198		1.732673	3.465347				6.683168	14.356436	
baguer	baguer	1.000000									8.571429						19.047619	19.047619					13.333333															13.333333													6.666667	20.000000	
balafrer	balafrer	1.000000									4.972376		0.552486				16.022099	2.209945					4.419890					3.867403							3.867403			4.419890					3.867403			8.287293	14.917127				3.867403	28.729282	
ballotter	ballotter	1.000000									6.286550						12.426901	12.426901					6.286550			5.994152		4.093567										6.286550				1.023392				5.994152	8.040936				2.923977	28.216374	
baser	baser	1.000000					0.682594				2.175768		0.383959		1.791809	0.682594	18.515358	7.465870			0.042662		9.556314		1.791809	6.271331	0.383959	0.981229								9.556314		9.556314					0.085324		0.127986	0.725256	0.767918				5.972696	22.482935	
bauger	bauger	1.000000																																																		100.000000	
