;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
58;acheminer;;;;;;aS6mina;;;;;;;;;;;;aS6minè;aS6mine;;;;;;;;;;;;;;;;aS6minô;aS6min;;;aS6min;;;;;;;;
59;acheter;;aS6tè;;;aS6tEr;aS6ta;aSèt6rô;aSèt6rè;;aSèt6ra;aSèt6rô;aSèt6ra;aS6tjô;aS6tè;;aS6tè;aS6tè;aS6tè;aS6te;;;;;;aS6tô;aS6te;aSEt;aS6tâ;aSèt6rjô;aSèt6rè;;aSèt6rè;aSèt6rè;aSèt6rè;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;;;;;aSEt;;
60;achever;;;;;aS6vEr;aS6va;;;;;aSèv6rô;aSèv6ra;;aS6vè;;;aS6vè;aS6vè;aS6ve;;;;;aS6va;aS6vô;aS6ve;aSEv;aS6vâ;;;;;aSèv6rè;aSèv6rè;aS6vô;aSEv;aS6ve;;aSEv;aSEv;;;;;;;
61;achopper;;aSòpè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;acoquiner;;;;;;;;;;;;;;;;;;;akòkine;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;acquiescer;;;;;;akjèsa;;;;;;;;akjèsè;;;;;akjèse;;;;;;;;akjEs;;;;;;;;akjèsô;akjEs;;;akjEs;akjEs;;;;;;;
64;acquitter;;;;;;;;;;;;;;akitè;;;;akitè;akite;;;;;;;;akit;;;;;;;;;akit;;akit;;akit;;;akit;;;;
65;acquérir;;aki;;;;;;;;;;;;;;;;;akèrir;;;;;;;;;;;;;;;;;;;;;akjEr;;;;;;;akjEr
66;actionner;;;;;;aksjòna;;;;;aksjòn6rô;;;;;;aksjònè;aksjònè;aksjòne;;;;;;;;aksjòn;aksjònâ;;;;;;;;aksjòn;;;;;;;;;;;
67;activer;;aktivè;;;;;;;;;;;;;;;aktivè;;aktive;;;;;;aktivô;aktive;aktiv;aktivâ;;;;;;;;aktiv;aktive;aktiv;;aktiv;;;;;;;aktiv
68;actualiser;;;;;;;;;;;;;;;;;;;aktyalize;;;;;;;aktyalize;;;;;;;;;;;;;;;;;;;;;
69;adapter;;;;;;adapta;;;;;;;;;;;;adaptè;adapte;;;;;;;adapte;adapt;;;;;;;adapt6rè;;adapt;adapte;;adapt;adapt;;;;;;;
70;additionner;;;;;;;;;;;;;;;;;;;adisjòne;;;;;;;;;;;;;;adisjòn6rè;adisjòn6rè;;adisjòn;;;;adisjòn;;;;;;;
71;adhérer;;;;;;;;;;;;;;;;;;adèrè;adère;;;;;;;adère;adEr;adèrâ;;;;;;;;adEr;;;adEr;adEr;;;;;;;
72;adjoindre;;;;;;;;;;;adZwêdrô;;;;;;;;adZwêdr;;;;;;;;;;;;;;;;;;;;;adZwê;;;;;;;
73;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZ;;;;;;;;;;;
74;adjurer;;;;;;;;;;;;;;;;;;;adZyre;;;;;;;;;;;;;;;;;;;;;adZyr;;;;;;;
75;admettre;;admi;;;;admi;;;;admètra;;admètra;;admètè;;admètè;admètè;admètè;admEtr;;;;;;admètô;admète;admè;admètâ;;;;admètrè;;admètrè;admètô;admè;admète;admè;admEt;admè;;;admEt;;;;
76;administrer;;;;;;;;;;;;;;;;;;administrè;administre;;;;;;;;administr;;;;;;;;;administr;;;administr;administr;;;;;;;
77;admirer;;admirè;;;;admira;;admir6rè;;;;;admirjô;admirè;;admirè;admirè;admirè;admire;;;;;;admirô;admire;admir;admirâ;;;;;;;admirô;admir;admire;admir;admir;admir;;;;;;;
78;adonner;;;;;;;;;;;;;;;;;adònè;adònè;adòne;;;;;;;;;;;;;;;;;adòn;;;adòn;adòn;;;;;;;
79;adopter;;;;;;adòpta;;;;;;;;adòptè;;;;adòptè;adòpte;;;;;adòpta;adòptô;adòpte;adOpt;adòptâ;;;;;;adòpt6rè;adòptô;adOpt;;;;adOpt;;;;;;;
80;adorer;;;;;;;;adòr6rè;adòr6re;adòr6ra;;adòr6ra;;adòrè;adòrje;adòrè;adòrè;adòrè;adòre;;;;;;;adòre;adOr;;adòr6rjô;adòr6rè;;adòr6rè;adòr6rè;adòr6rè;adòrô;adOr;adòre;adOr;adOr;adOr;;;;;;adOr;adOr
81;adosser;;;;;;adòsa;;;;;;;;;;;adòsè;;adòse;;;;;;;;ados;;;;;;;;;;adòse;;;ados;;;;;;;
82;adouber;;;;;;aduba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;adoucir;;;;;adusir;adusi;;;;;;;;;;;adusisè;;adusir;;;;;;;;;adusisâ;;;;;;;;adusi;;;adusis;adusi;;;;;;;
84;adresser;;adrèsè;;;adrèsEr;adrèsa;;adrès6rè;;;;adrès6ra;adrèsjô;adrèsè;;adrèsè;adrèsè;adrèsè;adrèse;;;;;adrèsa;adrèsô;adrèse;adrEs;adrèsâ;;adrès6rè;;;;adrès6rè;adrèsô;adrEs;adrèse;adrEs;adrEs;adrEs;;;adrEs;;;;adrEs
85;aduler;;;;;;;;;;;;;;;;;;adylè;;;;;;;;;;;;;;;;;;;;;adyl;;;;;;;;
86;advenir;;;;;;advê;;;;;;advjêdra;;;;;;adv6nè;adv6nir;;;;;advê;;;;;;;;;;advjêdrè;;;;;;advjê;;;;;;;advjEn
87;affadir;;;;;;;;;;;;;;;;;;afadisè;afadir;;;;;;;;;afadisâ;;;;;;;;;;;;;;;;;;;
88;affaiblir;;;;;;afèbli;;;;;;afèblira;;;;;;afèblisè;afèblir;;;;;;;;afèbli;;;;;;;;;afèbli;;afèbli;afèblis;afèbli;;;;;;;
89;affairer;;;;;;;;;;;;;;;;;afèrè;afèrè;afère;;;;;;;;afEr;;;;;;;;afèrô;afEr;;afEr;afEr;afEr;;;;;;;
90;affaisser;;;;;;;;;;;;;;;;;afèsè;afèsè;;;;;;;;;afEs;afèsâ;;;;;;;;;;;afEs;afEs;;;;;;;
91;affaler;;;;;;afala;;;;;;;;;;;;afalè;afale;;;;;;;;afal;;;;;;;;;afal;;;;afal;;;;;;;
92;affamer;;;;;;;;;;;;afam6ra;;;;;;afamè;;;;;;;;;;;;;;;;;;;;;;afam;;;;;;;
93;affecter;;afEktè;;;afEktEr;afEkta;;;;;afEkt6rô;afEkt6ra;;;;;afEktè;afEktè;afEkte;;;;;;;afEkte;afEkt;afEktâ;;;;;;;;afEkt;;;afEkt;afEkt;;;;;;;
94;affectionner;;;;;;;;;;;;;;;;;afEksjònè;afEksjònè;;;;;;;;;;;;;;;;;;afEksjòn;afEksjòne;;afEksjòn;afEksjòn;;;;;;;
95;affermir;;;;;;afErmi;;;;;;;;;;;afErmisè;afErmisè;afErmir;;;;;;;;;afErmisâ;;;;;;;;;;;;afErmi;;;;;;;
96;afficher;;;;;;afiSa;;;;;;;;;;afiSè;afiSè;afiSè;afiSe;;;;;;afiSô;afiSe;afiS;afiSâ;;;;;;;;afiS;afiSe;;afiS;afiS;;;;;;;
97;affiner;;;;;;;;;;;;;;;;;;afinè;;;;;;;;;;afinâ;;;;;;;;;;;;;;;;;;;
98;affirmer;;afirmè;;;;afirma;;afirm6rè;;;;;afirmjô;;;afirmè;afirmè;afirmè;afirme;;;;;afirma;;afirme;afirm;afirmâ;;;afirm6rje;;;;;afirm;;;afirm;afirm;;;;;;;afirm
99;affleurer;;;;;;;;;;;;;;;;;;;afl6re;;;;;;;;afl9r;;;;;;;;;;;;afl9r;afl9r;;;;;;;
100;affliger;;;;;;;;;;;;;;;;;;;afliZe;;;;;;;;;afliZâ;;;;;;;;afliZ;;;;afliZ;;;;;;;
101;affluer;;;;;aflyEr;aflya;;;;;;;;;;;;;aflye;;;;;;;;;;;;;;aflyrè;;;;;;afly;afly;;;;;;;
102;affoler;;afòlè;;;afòlEr;afòla;;;;;;;;;;;afòlè;afòlè;afòle;;;;;;;afòle;afOl;afòlâ;;;;;;;;afOl;;afOl;afOl;afOl;;;;;;;
103;affranchir;;;;;;afrâSi;;;;;;;;afrâSisè;;;;afrâSisè;afrâSir;;;;;;;;afrâSi;;;;;;;;;afrâSi;;afrâSi;;afrâSi;;;;;;;
104;affrioler;;;;;;;;;;;;;;;;;;;afriòle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;affronter;;;;;;afrôta;;;;;afrôt6rô;afrôt6ra;;afrôtè;;;afrôtè;;afrôte;;;;;;;afrôte;afrôt;afrôtâ;;;;;;afrôt6rè;afrôtô;afrôt;afrôte;afrôt;afrôt;afrôt;;;;;;;afrôt
106;affréter;;;;;;;afrèt6rô;;;;;;;;;;;;afrète;;;;;;;;;;;;;;;;;afrEt;;;;;;;;;;;
107;affubler;;;;;;;;;;;;;;;;;;afyblè;;;;;;;;;;afyblâ;;;;;;;;afybl;;;afybl;afybl;;;;;;;
108;affûter;;;;;;;;;;;;;;;;;;;;;;;;afyta;;;afyt;;;;;;;;;;;;;afyt;;;;;;;
109;agacer;;;;;agasEr;agasa;;;;;agas6rô;;;;;;agasè;agasè;agase;;;;;;;;agas;;;;;;;;;agas;agase;agas;agas;agas;;;;;;;
110;agencer;;;;;;;;;;;;;;;;;aZâsè;;aZâse;;;;;;;;;;;;;;;;;;;;;aZâs;;;;;;;
111;agenouiller;;;;;;aZ6nuja;;;;;;;;;;;;aZ6nujè;aZ6nuje;;;;;;;;aZ6nuj;aZ6nujâ;;;;;;;aZ6nujô;aZ6nuj;;;aZ6nuj;aZ6nuj;;;;;;;
112;agglutiner;;;;;;;;;;;;;;;;;aglytinè;;;;;;;;;;;aglytinâ;;;;;;;;;;;aglytin;;;;;;;;
113;aggraver;;;;;agravEr;agrava;;;;;;;;;;;agravè;agravè;agrave;;;;;;;agrave;agrav;agravâ;;;;;;;;agrav;agrave;;agrav;agrav;;;;;;;
114;agir;;;;;;aZi;;aZirè;aZire;;;aZira;;aZisè;;aZisè;aZisè;aZisè;aZir;;;;;aZi;aZisô;aZise;aZi;aZisâ;;aZirè;;aZirè;;aZirè;aZisô;aZi;aZise;aZi;aZis;aZi;;;aZis;;aZis;;aZis
115;agiter;;;;;aZitEr;aZita;;;;;;aZit6ra;;;;aZitè;aZitè;aZitè;aZite;;;;;;;aZite;aZit;aZitâ;;;;;;aZit6rè;aZitô;aZit;aZite;;aZit;aZit;;;;;;;
116;agonir;;;;;;;;;;;;;;;;;;;agònir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;agoniser;;;;;;;;;;;;;;;agònizje;;;agònizè;agònize;;;;;;;;agòniz;agònizâ;;;;;;;;agòniz;;;;agòniz;;;;;;;
118;agrafer;;;;;;;;;;;;;;;;;;;agrafe;;;;;;;;;;;;;;;;;;;;;agraf;;;;;;;
119;agrandir;;;;;agrâdir;agrâdi;;;;;;;;;;;agrâdisè;agrâdisè;agrâdir;;;;;;;agrâdise;agrâdi;;;;;;;agrâdirè;;agrâdi;agrâdise;agrâdi;agrâdis;agrâdi;;;;;;;
120;agresser;;;;;;;;;;;;;;agrèsè;;;;;agrèse;;;;;;;;agrEs;;;;;;;;;agrEs;agrèse;;agrEs;agrEs;;;;;;;
121;agripper;;;;;;agripa;;;;;;;;;;;agripè;agripè;agripe;;;;;;;;agrip;agripâ;;;;;;;;agrip;;;agrip;agrip;;;;;;;
122;agréer;;;;;;;;;;;;;agrèjô;agrèè;;;;;agrèe;;;;;;;;;;;;;;;;;;agrèe;;;;;;;;;;
123;agrémenter;;;;;;;;;;;;;;;;;;agrèmâtè;;;;;;;;;;agrèmâtâ;;;;;;;;;;;;;;;;;;;
124;aguicher;;;;;;;;;;;;;;;;;;agiSè;agiSe;;;;;;;;;;;;;;;;;;;;;agiS;;;;;;;
125;ahaner;;;;;;;;;;;;;;;;;;aanè;;;;;;;;;;aanâ;;;;;;;;aan;;;;;;;;;;;
126;ahurir;;;;;;;;;;;;;;;;;;ayrisè;;;;;;;;;;ayrisâ;;;;;;;;;;;;ayri;;;;;;;
127;aider;;èdè;;;èdEr;èda;èd6rô;èd6rè;èd6re;èd6ra;èd6rô;èd6ra;;èdè;èdje;èdè;èdè;èdè;ède;;;;;;èdô;ède;Ed;èdâ;;èd6rè;èd6rje;èd6rè;èd6rè;èd6rè;èdô;Ed;ède;Ed;Ed;Ed;;;Ed;èdje;Ed;Ed;Ed
128;aigrir;;;;;;;;;;;;;;;;;ègrisè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;aiguiller;;;;;;ègHija;;;;;;;;;;;;;ègHije;;;;;;;;ègHij;;;;;;;;;;;ègHij;;ègHij;;;;;;;
130;aiguiser;;;;;;;;;;;;;;;;;ègizè;ègizè;ègize;;;;;;;;ègiz;;;;;;;;;ègiz;ègize;;ègiz;ègiz;;;;;;;
131;aimer;;èmè;;;èmEr;èma;èm6rô;èm6rè;èm6re;èm6ra;èm6rô;èm6ra;èmjô;èmè;èmje;èmè;èmè;èmè;ème;;;;;èma;èmô;ème;Em;èmâ;èm6rjô;èm6rè;èm6rje;èm6rè;èm6rè;èm6rè;èmô;Em;ème;Em;Em;Em;;èmjô;Em;èmje;Em;Em;Em
132;ajourer;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZurâ;;;;;;;;;;;;;;;;;;;
133;ajourner;;;;;;;;;;;;;;;;;;;aZurne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;ajouter;;aZutè;;;aZutEr;aZuta;;aZut6rè;;;;aZut6ra;;aZutè;aZutje;aZutè;aZutè;aZutè;aZute;;;;;;aZutô;aZute;aZut;aZutâ;;aZut6rè;;aZut6rè;aZut6rè;;aZutô;aZut;aZute;aZut;aZut;aZut;;;;;;;aZut
135;ajuster;;;;;aZystEr;;;;;;;;;;;;;;aZyste;;;;;;;aZyste;aZyst;aZystâ;;;;;;;;aZyst;aZyste;;;aZyst;;;;;;;
136;alanguir;;;;;;;;;;;;;;;;;alâgisè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;alarmer;;;;;;alarma;;;;;;;;;;;;alarmè;alarme;;;;;;;alarme;;alarmâ;;;;;;;;alarm;;;;alarm;;;;;;;
138;alerter;;;;;;alErta;;alErt6rè;;;;;;;;;;alErtè;alErte;;;;;alErta;;alErte;alErt;;;;;;;;;alErt;alErte;;;alErt;;;;;;;alErt
139;aligner;;;;;;aliJa;;;;;;;;;;;aliJè;aliJè;aliJe;;;;;;;aliJe;aliJ;;;;;;;;;aliJ;aliJe;;aliJ;aliJ;;;;;;;
140;alimenter;;;;;;;;;;;;;;;;;alimâtè;;alimâte;;;;;;;;alimât;;;;;;;;;alimât;;;alimât;alimât;;;;;;;
141;aliter;;;;;;alita;;;;;;;;;;;;;alite;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;aliéner;;;;;;aljèna;;;;;;;;;;;;;aljène;;;;;;;;;aljènâ;;;;;;;;;;;;aljEn;;;;;;;
143;allaiter;;;;;;;;;;;;;;alètè;;;;alètè;alète;;;;;;;;alEt;;;;;;;alèt6rè;;alEt;;;;;;;;;;;
144;aller;alam;alè;;;alEr;ala;irô;irè;ire;ira;irô;ira;aljô;alè;alje;alè;alè;alè;ale;;;;alas;ala;alô;ale;va;alâ;irjô;irè;irje;irè;irè;irè;alô;vè;ale;va;vô;va;;;aj;;aj;aj;aj
145;allier;;;;;;;;;;;;;;;;;;aljè;alje;;;;;;;;;aljâ;;;;;;;;ali;;;ali;ali;;;;;;;
146;allonger;;alôZè;;;alôZEr;alôZa;;;;;;;;alôZè;;alôZè;alôZè;alôZè;alôZe;;;;;;;alôZe;alôZ;alôZâ;;;;;;;alôZô;alôZ;alôZe;alôZ;alôZ;alôZ;;;alôZ;;;;
147;allumer;;alymè;;;alymEr;alyma;;alym6rè;;;alym6rô;alym6ra;;alymè;;alymè;alymè;alymè;alyme;;;;;;alymô;alyme;alym;alymâ;;;;;;alym6rè;alymô;alym;alyme;alym;alym;alym;;;;;alym;;
