;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
906;culpabiliser;;;;;;;;;;;;;;;;;;;kylpabilize;;;;;;;;;kylpabiliz;;;;;;;;;kylpabiliz;kylpabilize;kylpabiliz;;;;;;kylpabilize;;;;;;
907;cultiver;;;;;;;;;;;;;;;;;kyltivè;kyltivè;kyltive;;;;;;;;;kyltiv;kyltivâ;;;;;;;kyltivô;kyltiv;;;kyltiv;kyltiv;;kyltive;;kyltive;;;;;;
908;cumuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kymyl;;;;kymyl;;;;kymyle;;;;;;
909;curer;;;;;;;;;;;;;;;;;;kyrè;kyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
910;cuver;;;;;;;;;;;;;;;;;;;kyve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;cyanoser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sjanòze;;;;;;;;
912;câbler;;;;;;;;;;;;;;;;;;kablè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
913;câliner;;;;;;;;;;;;;;;;;;;kaline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
914;céder;;;;;;sèda;;;;;sèd6rô;sèd6ra;;;;;;sèdè;sède;;;;;;;;sède;sEd;sèdâ;;;;sèd6rè;;;sèdô;sEd;;;sEd;sEd;sède;;;sède;;;;;;
915;célébrer;;;;;;;;;;;;;;;;;;sèlèbrè;sèlèbre;;;;;;sèlèbra;sèlèbrô;;sèlEbr;;;;;;;;sèlèbrô;sèlEbr;;sèlEbr;sèlEbr;sèlEbr;sèlèbre;sèlèbre;;sèlèbre;;;;;;sèlEbr
916;côtoyer;;;;;;;;;;;;;;kòtwajè;;;kòtwajè;;kòtwaje;;;;;;;;;;;;;;;;;;;;;kòtwa;kòtwa;;;kòtwaje;kòtwaje;;;;;;
917;dactylographier;;;;;;;;;;;;;;;;;;;daktilògrafje;;;;;;;;;;;;;;;;;;;;;;;daktilògrafje;;;;;;;;;
918;daguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dage;;;;;;
919;daigner;;;;;;;;;;;;dèJ6ra;;;;;;;;;;;;;dèJa;;dèJe;dEJ;dèJâ;;;;;;;;dEJ;dèJe;;;;;;;;;;;;;
920;daller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dal;;dale;dale;dale;;;;;;
921;damasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;damase;;;;;;;;;
922;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;dam;;dam;;dam;;;;;;;;dam;;
923;damner;;;;;;;;;;;;;;;;;;;dane;;;;;;;;;;;;dan6rè;;;;;;dan;;;;;;;dane;dane;;;;;;
924;dandiner;;;;;;;;;;;;;;;;;;dâdinè;;;;;;;;;;dâdin;dâdinâ;;;;;;;;;;;;dâdin;;;;;;;;;;
925;danser;;;;;dâsEr;;;;;;;;dâsjô;dâsè;;dâsè;dâsè;dâsè;dâse;;;;;;;dâsô;dâse;dâs;dâsâ;;dâs6rè;;;;;dâsô;dâs;dâse;dâs;dâs;dâs;;dâse;;dâse;;;;dâs;;dâs
926;darder;;;;;;;;;;;;;;;;;;;;;;;;;;;;dard;dardâ;;;;;;;;;;;;dard;;darde;;;;;;;;
927;dater;;;;;;;;;;;;;;;;;datè;datè;date;;;;;;;;;dat;datâ;;;;;;;;dat;;;dat;dat;;;;date;;;;;;
928;demander;;d6mâdè;;;d6mâdEr;d6mâda;d6mâd6rô;d6mâd6rè;d6mâd6re;d6mâd6ra;d6mâd6rô;d6mâd6ra;d6mâdjô;d6mâdè;d6mâdje;d6mâdè;d6mâdè;d6mâdè;d6mâde;;;;;;;d6mâdô;d6mâde;d6mâd;d6mâdâ;;d6mâd6rè;;d6mâd6rè;d6mâd6rè;d6mâd6rè;d6mâdô;d6mâd;d6mâde;d6mâd;d6mâd;d6mâd;d6mâde;d6mâde;d6mâde;d6mâde;;d6mâd;;d6mâd;d6mâd;d6mâd
929;demeurer;;d6m6rè;;;d6m6rEr;d6m6ra;;;;;d6m6r6rô;d6m6r6ra;;d6m6rè;;;d6m6rè;d6m6rè;d6m6re;;;;;;;;d6m6re;d6m9r;d6m6râ;;;;;;;;d6m9r;;d6m9r;d6m9r;d6m9r;;d6m6re;d6m6re;d6m6re;;;;;;
930;descendre;;dèsâdi;;;dèsâdir;dèsâdi;dèsâdrô;dèsâdrè;dèsâdre;dèsâdra;dèsâdrô;dèsâdra;dèsâdjô;dèsâdè;dèsâdje;dèsâdè;dèsâdè;dèsâdè;dèsâdr;;;;;;;dèsâdô;dèsâde;dèsâ;dèsâdâ;dèsâdriô;;;dèsâdrè;dèsâdrè;dèsâdrè;dèsâdô;dèsâ;dèsâde;dèsâ;dèsâd;dèsâ;dèsâdy;dèsâdy;dèsâdy;dèsâdy;;dèsâd;;dèsâd;dèsâd;dèsâd
931;dessaouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèsul;;;;;;;;;;;;;dèsul;;dèsule;;dèsule;;;;;;
932;desseller;;;;;;;;;;;;;;;;;;;dèsèle;;;;;;;;;dèsEl;;;;;;;;;;;;;;;;dèsèle;;;;;;;
933;desserrer;;;;;;dèsèra;;;;;;;;;;;;dèsèrè;dèsère;;;;;;;;dèsère;dèsEr;;;;;;;;;;dèsère;;;dèsEr;;;;dèsère;;;;;;
934;desservir;;;;;;;;;;;;;;;;;;dèsErvè;dèsErvir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
935;dessiner;;dèsinè;;;;dèsina;;;;;;;;;;dèsinè;dèsinè;dèsinè;dèsine;;;;;;;;dèsine;dèsin;dèsinâ;;;;;;;;dèsin;;dèsin;dèsin;dèsin;dèsine;dèsine;dèsine;dèsine;;;;;;
936;dessouder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèsude;;dèsude;;;;;;
937;dessoûler;;;;;;;;;;;;;;;;;;;dèsule;;;;;;;;;dèsul;;;;;;;;;dèsul;;;;dèsul;;dèsule;;dèsule;;;;;;
938;dessécher;;;;;dèsèSEr;;;;;;;;;;;;dèsèSè;dèsèSè;dèsèSe;;;;;;;;;dèsES;;;;;;;;;;;;dèsES;;dèsèSe;dèsèSe;dèsèSe;dèsèSe;;dèsES;;;;
