;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
27;abstenir;;abstê;;;abstêr;abstê;abstjêdrô;abstjêdrE;;abstjêdra;abstjêdrô;;abst6njô;abst6nE;abst6nje;;abst6nE;abst6nE;abst6nir;;;abstêsje;;;abstê;abst6nô;abst6ne;abstjê;abst6nâ;abstjêdriô;abstjêdrE;;;abstjêdrE;abstjêdrE;abst6nô;abstjê;abst6ne;abstjê;abstjEn;abstjê;abst6ny;abst6ny;abst6ny;abst6ny;;abstjEn;;abstjEn;;abstjEn
28;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;abstrE;;;;abstrE;abstrEt;abstrEt;abstrE;abstrE;;;;;;
29;abuser;;abyzE;;;abyzEr;abyza;;abyz6rE;abyz6re;;;abyz6ra;;abyzE;abyzje;;abyzE;abyzE;abyze;;;;;;;abyzô;abyze;abyz;abyzâ;;abyz6rE;abyz6rje;abyz6rE;;abyz6rE;abyzô;abyz;abyze;abyz;abyz;abyz;abyze;abyze;abyze;abyze;;;;;;
30;abâtardir;;;;;;;;abatardirE;;;;;;;;;;;abatardir;;;;;;;;;;abatardisâ;;;;;;;;;;;;;abatardi;;;abatardi;;;;;;
31;abêtir;;;;;;abEti;;;;;;;;;;;;abEtisE;abEtir;;;;;;;;;;;;;;;;;;;;abEti;;;;;;abEti;;;;;;
32;abîmer;;abimE;;;;abima;;abim6rE;abim6re;abim6ra;abim6rô;abim6ra;abimjô;;abimje;;abimE;abimE;abime;;;;;;;;abime;abim;abimâ;;abim6rE;;abim6rE;;abim6rE;abimô;abim;abime;abim;abim;abim;abime;abime;abime;abime;;;;;;
33;acagnarder;;akaJardE;;;;;;;;;;;;;;;;akaJardE;akaJarde;;;;;;;;;;;;;;;;;;;;;;;;akaJarde;;akaJarde;;;;;;
34;accabler;;akablE;;;akablEr;akabla;;;akabl6re;;;;akabljô;akablE;;;akablE;akablE;akable;;;;;;akabla;;akable;akabl;akablâ;;;;;akabl6rE;;;akabl;akable;;akabl;akabl;akable;akable;akable;akable;;akabl;;;;
35;accaparer;;;;;;akapara;;;;;akapar6rô;;;;;;akaparE;akaparE;akapare;;;;;;;;;akapar;akaparâ;;;;;;akapar6rE;;akapar;akapare;;;akapar;akapare;akapare;akapare;akapare;;;;;;
36;accentuer;;aksâtyE;;;aksâtyEr;aksâtya;;;;;;;;aksâtyE;;;aksâtyE;aksâtyE;aksâtye;;;;;;aksâtya;;aksâtye;aksâty;aksâtyâ;;;;;;aksâtyrE;;aksâty;aksâtye;;aksâty;aksâty;aksâtye;aksâtye;aksâtye;aksâtye;;;;;;
37;accepter;aksEptam;aksEptE;;;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rE;aksEpt6re;aksEpt6ra;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;aksEptasjô;;;aksEptas;aksEptas;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rE;aksEpt6rje;aksEpt6rE;aksEpt6rE;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;aksEpte;aksEpte;;aksEpt;;;;aksEpt
38;accidenter;;;;;;;;;;;;;;;;;;;aksidâte;;;;;;;;;;;;;;;;;;;;;;aksidât;;aksidâte;;aksidâte;;;;;;
39;acclamer;;;;;;aklama;;;;;aklam6rô;aklam6ra;;;aklamje;;aklamE;aklamE;aklame;;;;;;;aklamô;aklame;aklam;aklamâ;;;;;;aklam6rE;aklamô;aklam;;;aklam;aklam;aklame;aklame;aklame;aklame;;;;;;
