;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
18;aborner;abOrnam;abOrnE;abOrnat;abOrna;abOrnEr;abOrna;abOrn6rô;abOrn6rE;abOrn6re;abOrn6ra;abOrn6rô;abOrn6ra;abOrnjô;abOrnE;abOrnje;abOrnE;abOrnE;abOrnE;abOrne;abOrnasjô;abOrnas;abOrnasje;abOrnas;abOrnas;abOrna;abOrnô;abOrne;abOrn;abOrnâ;abOrn6rjô;abOrn6rE;abOrn6rje;abOrn6rE;abOrn6rE;abOrn6rE;abOrnô;abOrn;abOrne;abOrn;abOrn;abOrn;abOrne;abOrne;abOrne;abOrne;abOrnjô;abOrn;abOrnje;abOrn;abOrn;abOrn
19;aboucher;abuSam;abuSE;abuSat;abuSa;abuSEr;abuSa;abuS6rô;abuS6rE;abuS6re;abuS6ra;abuS6rô;abuS6ra;abuSjô;abuSE;abuSje;abuSE;abuSE;abuSE;abuSe;abuSasjô;abuSas;abuSasje;abuSas;abuSas;abuSa;abuSô;abuSe;abuS;abuSâ;abuS6rjô;abuS6rE;abuS6rje;abuS6rE;abuS6rE;abuS6rE;abuSô;abuS;abuSe;abuS;abuS;abuS;abuSe;abuSe;abuSe;abuSe;abuSjô;abuS;abuSje;abuS;abuS;abuS
20;abouler;abulam;abulE;abulat;abula;abulEr;abula;abul6rô;abul6rE;abul6re;abul6ra;abul6rô;abul6ra;abuljô;abulE;abulje;abulE;abulE;abulE;abule;abulasjô;abulas;abulasje;abulas;abulas;abula;abulô;abule;abul;abulâ;abul6rjô;abul6rE;abul6rje;abul6rE;abul6rE;abul6rE;abulô;abul;abule;abul;abul;abul;abule;abule;abule;abule;abuljô;abul;abulje;abul;abul;abul
21;abouter;abutam;abutE;abutat;abuta;abutEr;abuta;abut6rô;abut6rE;abut6re;abut6ra;abut6rô;abut6ra;abutjô;abutE;abutje;abutE;abutE;abutE;abute;abutasjô;abutas;abutasje;abutas;abutas;abuta;abutô;abute;abut;abutâ;abut6rjô;abut6rE;abut6rje;abut6rE;abut6rE;abut6rE;abutô;abut;abute;abut;abut;abut;abute;abute;abute;abute;abutjô;abut;abutje;abut;abut;abut
22;aboutir;abutim;abuti;abutit;abuti;abutir;abuti;abutirô;abutirE;abutire;abutira;abutirô;abutira;abutisjô;abutisE;abutisje;abutisE;abutisE;abutisE;abutir;abutisjô;abutis;abutisje;abutis;abutis;abuti;abutisô;abutise;abuti;abutisâ;abutirjô;abutirE;abutirje;abutirE;abutirE;abutirE;abutisô;abuti;abutise;abuti;abutis;abuti;;;;abuti;abutisjô;abutis;abutisje;abutis;abutis;abutis
23;aboyer;abwajam;abwajE;abwajat;abwaja;abwajEr;abwaja;abwarô;abwarE;abware;abwara;abwarô;abwara;abwajô;abwajE;abwaje;abwajE;abwajE;abwajE;abwaje;abwajasjô;abwajas;abwajasje;abwajas;abwajas;abwaja;abwajô;abwaje;abwa;abwajâ;abwarjô;abwarE;abwarje;abwarE;abwarE;abwarE;abwajô;abwa;abwaje;abwa;abwa;abwa;;;;abwaje;abwajô;abwa;abwaje;abwa;abwa;abwa
24;abraser;abrazam;abrazE;abrazat;abraza;abrazEr;abraza;abraz6rô;abraz6rE;abraz6re;abraz6ra;abraz6rô;abraz6ra;abrazjô;abrazE;abrazje;abrazE;abrazE;abrazE;abraze;abrazasjô;abrazas;abrazasje;abrazas;abrazas;abraza;abrazô;abraze;abraz;abrazâ;abraz6rjô;abraz6rE;abraz6rje;abraz6rE;abraz6rE;abraz6rE;abrazô;abraz;abraze;abraz;abraz;abraz;abraze;abraze;abraze;abraze;abrazjô;abraz;abrazje;abraz;abraz;abraz
25;abreuver;abr6vam;abr6vE;abr6vat;abr6va;abr6vEr;abr6va;abr6v6rô;abr6v6rE;abr6v6re;abr6v6ra;abr6v6rô;abr6v6ra;abr6vjô;abr6vE;abr6vje;abr6vE;abr6vE;abr6vE;abr6ve;abr6vasjô;abr6vas;abr6vasje;abr6vas;abr6vas;abr6va;abr6vô;abr6ve;abr9v;abr6vâ;abr6v6rjô;abr6v6rE;abr6v6rje;abr6v6rE;abr6v6rE;abr6v6rE;abr6vô;abr9v;abr6ve;abr9v;abr9v;abr9v;abr6ve;abr6ve;abr6ve;abr6ve;abr6vjô;abr9v;abr6vje;abr9v;abr9v;abr9v
26;abricoter;abrikOtam;abrikOtE;abrikOtat;abrikOta;abrikOtEr;abrikOta;abrikOt6rô;abrikOt6rE;abrikOt6re;abrikOt6ra;abrikOt6rô;abrikOt6ra;abrikOtjô;abrikOtE;abrikOtje;abrikOtE;abrikOtE;abrikOtE;abrikOte;abrikOtasjô;abrikOtas;abrikOtasje;abrikOtas;abrikOtas;abrikOta;abrikOtô;abrikOte;abrikOt;abrikOtâ;abrikOt6rjô;abrikOt6rE;abrikOt6rje;abrikOt6rE;abrikOt6rE;abrikOt6rE;abrikOtô;abrikOt;abrikOte;abrikOt;abrikOt;abrikOt;abrikOte;abrikOte;abrikOte;abrikOte;abrikOtjô;abrikOt;abrikOtje;abrikOt;abrikOt;abrikOt
27;abriter;abritam;abritE;abritat;abrita;abritEr;abrita;abrit6rô;abrit6rE;abrit6re;abrit6ra;abrit6rô;abrit6ra;abritjô;abritE;abritje;abritE;abritE;abritE;abrite;abritasjô;abritas;abritasje;abritas;abritas;abrita;abritô;abrite;abrit;abritâ;abrit6rjô;abrit6rE;abrit6rje;abrit6rE;abrit6rE;abrit6rE;abritô;abrit;abrite;abrit;abrit;abrit;abrite;abrite;abrite;abrite;abritjô;abrit;abritje;abrit;abrit;abrit
28;abroger;abrOZam;abrOZE;abrOZat;abrOZa;abrOZEr;abrOZa;abrOZ6rô;abrOZ6rE;abrOZ6re;abrOZ6ra;abrOZ6rô;abrOZ6ra;abrOZjô;abrOZE;abrOZje;abrOZE;abrOZE;abrOZE;abrOZe;abrOZasjô;abrOZas;abrOZasje;abrOZas;abrOZas;abrOZa;abrOZô;abrOZe;abrOZ;abrOZâ;abrOZ6rjô;abrOZ6rE;abrOZ6rje;abrOZ6rE;abrOZ6rE;abrOZ6rE;abrOZô;abrOZ;abrOZe;abrOZ;abrOZ;abrOZ;abrOZe;abrOZe;abrOZe;abrOZe;abrOZjô;abrOZ;abrOZje;abrOZ;abrOZ;abrOZ
29;abrutir;abrytim;abryti;abrytit;abryti;abrytir;abryti;abrytirô;abrytirE;abrytire;abrytira;abrytirô;abrytira;abrytisjô;abrytisE;abrytisje;abrytisE;abrytisE;abrytisE;abrytir;abrytisjô;abrytis;abrytisje;abrytis;abrytis;abryti;abrytisô;abrytise;abryti;abrytisâ;abrytirjô;abrytirE;abrytirje;abrytirE;abrytirE;abrytirE;abrytisô;abryti;abrytise;abryti;abrytis;abryti;abryti;abryti;abryti;abryti;abrytisjô;abrytis;abrytisje;abrytis;abrytis;abrytis
30;abréger;abrEZam;abrEZE;abrEZat;abrEZa;abrEZEr;abrEZa;abrEZ6rô;abrEZ6rE;abrEZ6re;abrEZ6ra;abrEZ6rô;abrEZ6ra;abrEZjô;abrEZE;abrEZje;abrEZE;abrEZE;abrEZE;abrEZe;abrEZasjô;abrEZas;abrEZasje;abrEZas;abrEZas;abrEZa;abrEZô;abrEZe;abrEZ;abrEZâ;abrEZ6rjô;abrEZ6rE;abrEZ6rje;abrEZ6rE;abrEZ6rE;abrEZ6rE;abrEZô;abrEZ;abrEZe;abrEZ;abrEZ;abrEZ;abrEZe;abrEZe;abrEZe;abrEZe;abrEZjô;abrEZ;abrEZje;abrEZ;abrEZ;abrEZ
31;absenter;absâtam;absâtE;absâtat;absâta;absâtEr;absâta;absât6rô;absât6rE;absât6re;absât6ra;absât6rô;absât6ra;absâtjô;absâtE;absâtje;absâtE;absâtE;absâtE;absâte;absâtasjô;absâtas;absâtasje;absâtas;absâtas;absâta;absâtô;absâte;absât;absâtâ;absât6rjô;absât6rE;absât6rje;absât6rE;absât6rE;absât6rE;absâtô;absât;absâte;absât;absât;absât;absâte;absâte;absâte;absâte;absâtjô;absât;absâtje;absât;absât;absât
